run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_classification_head_dropout,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step
7247479121.65126-bf22e848-984c,resenc_multimodal_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-07-14_19-41-08,finished,2025-07-14T19:41:42Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm/runs/7247479121.65126-bf22e848-984c,,270d3b76-0961-447e-8c83-23d765620c62,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,6,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,False,False,1,epochwise,0.2,0.981042981147766,0.9879059195518494,0.960657000541687,0.9668583869934082,0.35578882694244385,0.8490889072418213,0.8497222065925598,0.7922222018241882,0.8119313716888428,0.5311346054077148,26060.0,1799.0,1752548163.576624,299.0,3.147162264971471e-09,8999.0
bt6d1v3o,resenc_multimodal_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-07-14_22-29-47,crashed,2025-07-14T22:30:07Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm/runs/bt6d1v3o,,38287110-feff-4b97-ac75-c96e673c3a96,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,6,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,False,False,1,epochwise,0.2,,,,,,,,,,,,,,,,
7247467522.43523-e56db285-c11d,resenc_multimodal_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-07-14_22-44-45,finished,2025-07-14T22:45:18Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm/runs/7247467522.43523-e56db285-c11d,,79ec5b62-a69d-44ab-ac71-a64029a496fc,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,6,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,False,False,1,epochwise,0.2,0.9834182262420654,0.9905590415000916,0.9410125017166138,0.9499857425689696,0.36203262209892273,0.8051798343658447,0.8323287963867188,0.7120547890663147,0.7259750366210938,0.5717515349388123,27669.0,1799.0,1752560788.335575,299.0,3.147162264971471e-09,8999.0
7247370863.69918-635e60fe-4a12,resenc_multimodal_BaseMDAETrainer_RandomMask_Flow_BS48_2000ep_multi_t1_t1c_t2_flair_swi_asl_2025-07-16_01-46-41,finished,2025-07-16T01:47:15Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm/runs/7247370863.69918-635e60fe-4a12,,b389bd8f-1226-4e06-90d5-431071dc22b3,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,6,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,False,False,1,epochwise,0.2,0.9941293001174928,0.9942759871482848,0.9912281036376952,0.9945181608200072,0.33997130393981934,0.8684278726577759,0.8591780662536621,0.8594520092010498,0.874053955078125,0.47983452677726746,23430.0,1799.0,1752653866.8205495,299.0,3.147162264971471e-09,8999.0
