run_id,run_name,project,modality,model,learning_rate,batch_size,epochs,epoch,test_balanced_accuracy,test_accuracy,test_f1,test_auc,test_precision,test_recall,test_sensitivity,test_specificity,val_balanced_accuracy,val_f1,val_auc,notes
7245968843.23486-31e11570-6d40,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-08-01_08-03-49,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,ResEncoder_Classifier,0.0001,4.0,200.0,200.0,0.5104166865348816,,0.39473971724510193,,,,,,0.6023550629615784,0.5953344702720642,,pretrained | model_ResEncoder_Classifier | mod_t1gd | timestamped
7245918451.74232-aa5f47e6-ad14,resenc_pretrained_t1gd_2025-08-01_21-03-54,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,ResEncoder_Classifier,6e-05,1.0,200.0,200.0,0.5,,0.3723404109477997,,,,,,0.5149456262588501,0.5133689641952515,,pretrained | model_ResEncoder_Classifier | mod_t1gd | timestamped
7245917611.43996-202d08e5-1094,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-08-01_21-12-13,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,ResEncoder_Classifier,6e-05,4.0,200.0,200.0,0.5,,0.3723404109477997,,,,,,0.4868659377098083,0.48611629009246826,,pretrained | model_ResEncoder_Classifier | mod_t1gd | timestamped
7245916777.50086-6a24eb2f-3367,resenc_time_conditioned_pretrained_t1gd_2025-08-01_21-26-19,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,ResEncTimeConditioned,6e-05,4.0,200.0,200.0,0.5,,0.3723404109477997,,,,,,0.6381340622901917,0.6397157907485962,,pretrained | model_ResEncTimeConditioned | mod_t1gd | timestamped
7245884306.14381-a1caa26a-0f53,resenc_pretrained_t1gd_2025-08-02_07-54-24,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,ResEncoder_Classifier,6e-05,4.0,200.0,200.0,0.5,,0.3723404109477997,,,,,,0.4637681245803833,0.4626454114913941,,pretrained | model_ResEncoder_Classifier | mod_t1gd | timestamped
7245883900.99613-76d5faa6-b05e,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-08-02_08-11-12,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,ResEncoder_Classifier,6e-05,4.0,200.0,200.0,0.5,,0.3723404109477997,,,,,,0.563858687877655,0.5594684481620789,,pretrained | model_ResEncoder_Classifier | mod_t1gd | timestamped
7245883510.31381-bab0cfd2-9806,resenc_time_conditioned_pretrained_t1gd_2025-08-02_06-39-56,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,ResEncTimeConditioned,6e-05,4.0,200.0,37.0,,,,,,,,,0.5,0.3709677457809448,,pretrained | model_ResEncTimeConditioned | mod_t1gd | timestamped
7245883127.30085-94d05c2a-55fa,mri_core_pretrained_t1gd_2025-08-02_06-52-01,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,MRICore,6e-05,4.0,200.0,200.0,0.5,,0.3723404109477997,,,,,,0.5,0.3709677457809448,,pretrained | model_MRICore | mod_t1gd | timestamped
7245882730.54261-94e313f7-7aff,dinov2_pretrained_t1gd_2025-08-02_06-58-10,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,dinov2,6e-05,4.0,50.0,200.0,0.5,,0.3723404109477997,,,,,,0.5,0.3709677457809448,,pretrained | mod_t1gd | timestamped
7245882335.28712-464b06bf-53bb,brainmvp_pretrained_t1gd_2025-08-02_07-02-58,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,brainmvp,6e-05,4.0,200.0,200.0,0.5014880895614624,,0.4585694968700409,,,,,,0.6204710006713867,0.6212396621704102,,pretrained | mod_t1gd | timestamped
7245881951.33344-fd62235a-d88a,brainiac_pretrained_t1gd_2025-08-02_07-09-32,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,brainiac,6e-05,4.0,200.0,200.0,0.46636906266212463,,0.41610434651374817,,,,,,0.44112318754196167,0.4411940276622772,,pretrained | mod_t1gd | timestamped
7245875690.94611-b985593c-b86c,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-08-02_10-20-43,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,ResEncoder_Classifier,0.0001,4.0,200.0,200.0,0.5,,0.3723404109477997,,,,,,0.5584239363670349,0.5584239363670349,,pretrained | model_ResEncoder_Classifier | mod_t1gd | timestamped
7245874966.72686-a63fd82d-e2e0,resenc_time_conditioned_pretrained_t1gd_2025-08-02_09-02-15,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,ResEncTimeConditioned,8e-05,4.0,200.0,200.0,0.5,,0.3723404109477997,,,,,,0.5,0.3709677457809448,,pretrained | model_ResEncTimeConditioned | mod_t1gd | timestamped
7245873980.73169-b348c6d4-4127,resenc_pretrained_t1gd_2025-08-02_09-19-21,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,ResEncoder_Classifier,0.0001,4.0,200.0,200.0,0.5,,0.3723404109477997,,,,,,0.5,0.3709677457809448,,pretrained | model_ResEncoder_Classifier | mod_t1gd | timestamped
7245873236.25733-671d993b-8ae9,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-08-02_09-35-17,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,ResEncoder_Classifier,0.0001,4.0,200.0,200.0,0.5104166865348816,,0.39473971724510193,,,,,,0.6023550629615784,0.5953344702720642,,pretrained | model_ResEncoder_Classifier | mod_t1gd | timestamped
7245828664.02620-0cb9cc5e-b8f0,resenc_time_conditioned_pretrained_t1gd_2025-08-02_22-01-25,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,ResEncTimeConditioned,0.0001,4.0,200.0,200.0,0.5,,0.3723404109477997,,,,,,0.4981883764266968,0.4981563687324524,,pretrained | model_ResEncTimeConditioned | mod_t1gd | timestamped
7245823924.68346-30bcd4e1-71c0,resenc_time_conditioned_pretrained_t1gd_2025-08-02_23-17-21,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,ResEncTimeConditioned,2e-05,4.0,200.0,200.0,0.5,,0.3723404109477997,,,,,,0.4773550629615784,0.4772434830665589,,pretrained | model_ResEncTimeConditioned | mod_t1gd | timestamped
7245826158.87941-b1623239-6e58,resenc_time_conditioned_pretrained_t1gd_2025-08-03_00-18-16,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,ResEncTimeConditioned,6e-05,4.0,200.0,200.0,0.5,,0.3723404109477997,,,,,,0.5,0.3709677457809448,,pretrained | model_ResEncTimeConditioned | mod_t1gd | timestamped
7245819824.60209-5d38cbe2-5e4f,resenc_time_conditioned_pretrained_t1gd_2025-08-03_00-21-37,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,ResEncTimeConditioned,8e-05,4.0,200.0,200.0,0.5,,0.3723404109477997,,,,,,0.5647644996643066,0.5634328126907349,,pretrained | model_ResEncTimeConditioned | mod_t1gd | timestamped
7245795828.02211-761c0070-9e6e,brainiac_pretrained_t1gd_2025-08-03_07-01-53,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,brainiac,2e-05,1.0,100.0,100.0,0.5077381134033203,,0.34013158082962036,,,,,,0.5036231875419617,0.49985259771347046,,pretrained | mod_t1gd | timestamped
