run_id,run_name,project,modality,model,learning_rate,batch_size,epochs,epoch,Test_Balanced_Accuracy,Test_Accuracy,Test_F1,Test_AUROC,Test_AP,Test_Precision,Test_Recall,Test_Sensitivity,Test_Specificity,Val_Balanced_Accuracy,Val_F1,Val_AUROC,Val_AP,notes
7245968768.49571-8961c2d2-6ca5,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-08-01_08-06-56,july_stratified_upenn_gbm_idh1_status_single_t2,T2,ResEncoder_Classifier,0.0001,4,200,200,0.5,,0.4511627852916717,0.593765377998352,0.5663690567016602,,,,,0.5,0.4507042169570923,0.7559523582458496,0.7097741365432739,pretrained | model_ResEncoder_Classifier | mod_t2 | timestamped
7245353808.17734-af24477c-39fa,resenc_MDAE_pretrained_t2_2025-08-08_09-51-59,july_stratified_upenn_gbm_idh1_status_single_t2,T2,ResEncoder_Classifier,0.0001,4,200,200,0.5,,0.4511627852916717,0.5905743837356567,0.5559238791465759,,,,,0.5,0.4507042169570923,0.8085317611694336,0.7077527642250061,pretrained | model_ResEncoder_Classifier | mod_t2 | timestamped
7245882023.78422-e28bf0fb-cd49,brainiac_pretrained_t1_2025-08-02_07-09-27,july_stratified_upenn_gbm_idh1_status_single_t1,T1,brainiac,6e-05,4,200,200,0.4845360815525055,,0.4433962404727936,0.5895925760269165,0.5531946420669556,,,,,0.5297619104385376,0.5293935537338257,0.5084325075149536,0.5065323710441589,pretrained | timestamped
7245353575.31867-1fb7076f-1c4c,resenc_MDAE_pretrained_t2_2025-08-08_09-55-55,july_stratified_upenn_gbm_idh1_status_single_t2,T2,ResEncoder_Classifier,0.0001,4,200,200,0.5,,0.4511627852916717,0.5881197452545166,0.5492944121360779,,,,,0.648809552192688,0.6629167199134827,0.8095238208770752,0.7208284735679626,pretrained | model_ResEncoder_Classifier | mod_t2 | timestamped
7245883939.99546-a7cca94d-63a9,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-08-02_08-23-10,july_stratified_upenn_gbm_idh1_status_single_t2,T2,ResEncoder_Classifier,6e-05,4,200,200,0.5,,0.4511627852916717,0.5851743221282959,0.577164888381958,,,,,0.5379464626312256,0.5404040217399597,0.7331348657608032,0.6181575059890747,pretrained | model_ResEncoder_Classifier | mod_t2 | timestamped
7245973718.04178-d0cc3619-598a,resenc_time_conditioned_pretrained_t2_2025-08-01_05-56-44,july_stratified_upenn_gbm_idh1_status_single_t2,T2,ResEncTimeConditioned,2e-05,1,200,200,0.5,,0.4511627852916717,0.5851743221282959,0.5677446722984314,,,,,0.5,0.4507042169570923,0.8144841194152832,0.7275940179824829,pretrained | model_ResEncTimeConditioned | mod_t2 | timestamped
7245353272.17745-c5735267-bb80,resenc_MDAE_pretrained_t2_2025-08-08_10-00-01,july_stratified_upenn_gbm_idh1_status_single_t2,T2,ResEncoder_Classifier,0.0001,4,200,200,0.5,,0.4511627852916717,0.5773196220397949,0.564410924911499,,,,,0.5,0.4507042169570923,0.836309552192688,0.7825311422348022,pretrained | model_ResEncoder_Classifier | mod_t2 | timestamped
7245348078.15732-1a07b723-685d,resenc_MDAE_pretrained_t2_2025-08-08_11-21-04,july_stratified_upenn_gbm_idh1_status_single_t2,T2,ResEncoder_Classifier,0.0001,4,200,200,0.5,,0.4511627852916717,0.5763378143310547,0.543383002281189,,,,,0.5,0.4507042169570923,0.8271329402923584,0.7900165319442749,pretrained | model_ResEncoder_Classifier | mod_t2 | timestamped
7245318076.69567-fba0f22e-ccf2,resenc_MDAE_pretrained_t2_2025-08-08_19-44-12,july_stratified_upenn_gbm_idh1_status_single_t2,T2,ResEncoder_Classifier,6e-05,4,200,200,0.5,,0.4511627852916717,0.5763377547264099,0.5477495789527893,,,,,0.5476190447807312,0.5419328212738037,0.8239086866378784,0.7342413067817688,pretrained | model_ResEncoder_Classifier | mod_t2 | timestamped
7245353919.02450-a46c3f64-66ca,resenc_MDAE_pretrained_t2_2025-08-08_09-49-48,july_stratified_upenn_gbm_idh1_status_single_t2,T2,ResEncoder_Classifier,0.0001,4,200,200,0.5,,0.4511627852916717,0.5724104046821594,0.5367342829704285,,,,,0.5714285969734192,0.5821428298950195,0.7854663133621216,0.7519182562828064,pretrained | model_ResEncoder_Classifier | mod_t2 | timestamped
7245353339.12933-f89c7822-3c79,resenc_MDAE_pretrained_t2_2025-08-08_10-02-01,july_stratified_upenn_gbm_idh1_status_single_t2,T2,ResEncoder_Classifier,0.0001,4,200,200,0.5,,0.4511627852916717,0.5724104046821594,0.5351970791816711,,,,,0.523809552192688,0.4982847571372986,0.835565447807312,0.8190968632698059,pretrained | model_ResEncoder_Classifier | mod_t2 | timestamped
7245828733.57400-b6e4bd6a-82be,resenc_time_conditioned_pretrained_t1_2025-08-02_22-43-14,july_stratified_upenn_gbm_idh1_status_single_t1,T1,ResEncTimeConditioned,0.0001,4,200,200,0.5,,0.4511627852916717,0.5704467296600342,0.5673584342002869,,,,,0.5,0.4507042169570923,0.5126488208770752,0.5215603113174438,pretrained | model_ResEncTimeConditioned | timestamped
