run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_gradient_clip_val,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_learning_rate,config_freeze_backbone,config_pretrained_path,config_token_aggregation_method,config_dinov2_model_name,config_slice_aggregation,config_final_batch_size,config_auto_batch_size_mode,config_auto_batch_size_steps,config_auto_batch_size_enabled,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss
7246910483.97304-0da77e61-3882,dinov2_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-23-45,failed,2025-07-21T09:24:03Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7246910483.97304-0da77e61-3882,,b0459709-ef70-4e0d-a67a-efaa515095e0,t-jiachentu,,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,4,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,False,False,2,epochwise,True,0.5,,,,,,,,,,,108,0,1753089931.213054,,4.761904761904762e-06,0,,0.0001,False,,mean,facebook/dinov2-base,mean,,,,,,,,,
7246910515.58502-479343b6-9eb3,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-07-21_09-24-13,finished,2025-07-21T09:24:33Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7246910515.58502-479343b6-9eb3,,fcaa59a6-8bda-408d-9e82-9154a5269398,t-jiachentu,,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,4,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,False,False,2,epochwise,True,0.5,0.7754262685775757,0.7764705419540405,0.7232025861740112,0.719315230846405,0.8200153112411499,0.5170207023620605,0.4469696879386902,0.5113636255264282,0.4868153929710388,0.9832320213317872,19387,599,1753109259.6459348,99.0,3.854818796385499e-07,3999,,0.001,True,,mean,facebook/dinov2-base,mean,,,,,,,,,
7246909546.39708-760df9a1-b111,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-39-37,finished,2025-07-21T09:40:08Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7246909546.39708-760df9a1-b111,,3330d16c-14d4-475c-9a5d-e4dc957df8b5,t-jiachentu,,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,32,CosineAnneal,,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,4,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,False,False,2,epochwise,False,0.2,0.7397075295448303,0.772549033164978,0.5183006525039673,0.4176904261112213,0.6386052370071411,0.4040502607822418,0.280303031206131,0.5,0.3235294222831726,0.8284592628479004,11881,599,1753102687.2190852,99.0,3.854818796385494e-08,3999,,0.0001,False,,,,,,,,,,,,,
7246909516.30060-13db5d61-e26e,resenc_scratch_multi_t1_t1gd_t2_flair_2025-07-21_09-39-59,finished,2025-07-21T09:40:15Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7246909516.30060-13db5d61-e26e,,387f5b99-d39d-44e7-ad0c-6e9a80a5c6bc,t-jiachentu,,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,4,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,False,False,2,epochwise,False,0.2,0.9300418496131896,0.9228757619857788,0.8156862854957581,0.8178524374961853,0.5079554915428162,0.46052590012550354,0.34090906381607056,0.405303031206131,0.3291666805744171,1.5656306743621826,11934,599,1753102748.4992547,99.0,3.854818796385494e-08,3999,,0.0001,False,,,,,,,,,,,,,
7246860333.37064-3e13a0e9-c79d,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_23-31-18,finished,2025-07-21T23:31:48Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7246860333.37064-3e13a0e9-c79d,,95022cb4-8ca7-454e-a0da-12e5afd2e564,t-jiachentu,,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,4,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,False,False,2,epochwise,True,0.0,0.7746015191078186,0.7699346542358398,0.6941176652908325,0.696407675743103,0.6458344459533691,0.497609943151474,0.46212121844291687,0.42424243688583374,0.3935091197490692,0.9514349102973938,7732,599,1753148439.23868,99.0,3.854818796385494e-08,3999,0.2,0.0001,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,cls_token,,,,,,,,,,,
7246843194.06251-c16fdc54-306e,dinov2_pretrained_multi_t1_t1gd_t2_flair_2025-07-22_07-51-40,finished,2025-07-22T04:09:43Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7246843194.06251-c16fdc54-306e,,9b8eb066-0d1a-424e-aaa4-b421f818feea,t-jiachentu,,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,4,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,False,False,2,epochwise,True,0.5,0.5672595500946045,0.5568627119064331,0.5911765098571777,0.5850840210914612,0.7157895565032959,0.5064511299133301,0.42424243688583374,0.4962121248245239,0.3839285671710968,0.7226274013519287,21171,1388,1753180805.7128172,99.0,3.854818796385494e-08,3999,,0.0001,False,,mean,facebook/dinov2-base,mean,,,,,,,,,
7246841806.03676-8991942a-31a9,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-22_04-29-43,failed,2025-07-22T04:30:09Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7246841806.03676-8991942a-31a9,,341886ff-dd21-4d95-896a-74c9eeb0c9b4,t-jiachentu,,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,4,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,False,False,2,epochwise,True,0.0,,,,,,,,,,,107,0,1753158710.880386,,4.761904761904762e-06,0,0.2,0.0001,False,,cls_token,,,,,,,,,,,
7246841837.57941-6bfe50b8-63d6,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-22_04-35-20,failed,2025-07-22T04:35:39Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7246841837.57941-6bfe50b8-63d6,,f50558fe-db64-4500-a710-0903eb9aa233,t-jiachentu,,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,4,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,False,False,2,epochwise,True,0.0,,,,,,,,,,,52,0,1753158985.5403605,,2.380952380952381e-06,0,0.2,5e-05,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,cls_token,,,,,,,,,,,
7246841487.10673-efec96c0-0c7f,dinov2_pretrained_multi_t1_t1gd_t2_flair_2025-07-22_04-39-45,finished,2025-07-22T04:40:14Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7246841487.10673-efec96c0-0c7f,,fac947cd-5081-4e08-bc87-50fb9b29cc9f,t-jiachentu,,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,4,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,False,False,2,epochwise,True,0.5,0.6177384257316589,0.6163398027420044,0.572549045085907,0.5700680017471313,0.7260873913764954,0.47165995836257935,0.4166666865348816,0.4696969985961914,0.4523809552192688,0.7213601469993591,10069,599,1753169285.718986,99.0,3.854818796385494e-08,3999,,0.0001,False,,mean,facebook/dinov2-base,mean,,,,,,,,,
7246821678.87502-9a5844c8-051f,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-22_11-45-51,finished,2025-07-22T10:06:24Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7246821678.87502-9a5844c8-051f,,195e8e23-ed3e-4bd7-8f21-af51fde325af,t-jiachentu,,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,4,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,False,False,2,epochwise,True,0.0,0.5723604559898376,0.5895425081253052,0.5035947561264038,0.3884335160255432,0.6814625263214111,0.6721028089523315,0.7121211290359497,0.5,0.3235294222831726,6.7578630447387695,11537,980,1753192415.413673,99.0,3.854818796385494e-08,3999,0.2,0.0001,False,,cls_token,,,,,,,,,,,
