run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_gradient_clip_val,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_pretrained_checkpoint_path,config_dinov2_model_name,config_slice_aggregation,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim
7246044941.99617-e64e8ed3-2e1d,brainiac_scratch_t1gd_2025-07-31_09-49-15,finished,2025-07-31T09:49:37Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_single_t1gd/runs/7246044941.99617-e64e8ed3-2e1d,,144e4530-9ec2-41ec-afa4-fa3db01b4cfb,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,2e-05,1,False,0,True,False,full,False,0.1,2,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,power,3,False,2,True,epochwise,cls_token,True,0.0,0.5555555820465088,0.4444444477558136,0.5,0.3333333432674408,0.693164050579071,0.5591886639595032,0.42592594027519226,0.5277777910232544,0.4886363744735718,0.7188693881034851,0.519444465637207,0.3333333134651184,0.5833333730697632,0.5833333730697632,1.158949375152588,2392,500,1753957769.7834828,100,7.709637592770997e-09,400,,,,,,,,,,,,,,
7246044994.01318-94e0a4aa-88fc,brainiac_pretrained_t1gd_2025-07-31_09-49-28,finished,2025-07-31T09:50:05Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_single_t1gd/runs/7246044994.01318-94e0a4aa-88fc,,6aedaffd-cd0a-4487-b4a1-5829079c0bad,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,2e-05,1,False,0,True,False,full,False,0.1,2,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,power,3,False,2,True,epochwise,cls_token,True,0.0,0.5555555820465088,0.3333333134651184,0.5,0.3333333432674408,0.6933987140655518,0.8494293689727783,0.8333333730697632,0.7222222089767456,0.7222222089767456,0.5373924374580383,0.45000001788139343,0.1666666567325592,0.25,0.1666666716337204,1.790236234664917,2487,500,1753957892.7824466,100,7.709637592770997e-09,400,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,,,,,,,
7246044884.79888-abb098d8-4668,brainmvp_pretrained_t1gd_2025-07-31_09-51-13,finished,2025-07-31T09:51:47Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_single_t1gd/runs/7246044884.79888-abb098d8-4668,,1a3e7a4b-1940-4f2d-9cbf-b6398f78a350,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,2e-05,1,False,0,True,False,full,False,0.1,4,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,power,3,False,2,True,epochwise,cls_token,True,0.0,0.6000000238418579,0.4444444179534912,0.5,0.3333333432674408,0.6993064880371094,0.7964762449264526,0.7592592835426331,0.6666666865348816,0.6606335043907166,0.6748877167701721,0.519444465637207,0.3333333134651184,0.4166666865348816,0.4000000059604645,1.1571325063705444,1541,500,1753957049.1047883,100,7.709637592770997e-09,200,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,,,,,,,
7246044778.28586-c751faa4-923c,dinov2_pretrained_t1gd_2025-07-31_09-55-15,finished,2025-07-31T09:55:40Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_single_t1gd/runs/7246044778.28586-c751faa4-923c,,70a55207-8685-464f-bcc4-c7e7c9116140,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,2e-05,1,False,0,True,False,full,False,0.1,2,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,power,3,False,2,True,epochwise,mean,True,0.5,0.5555555820465088,0.3333333134651184,0.5,0.3333333432674408,2.3203155994415283,1.0,1.0,1.0,1.0,0.22693605720996857,0.875,0.8333333730697632,0.5,0.375,0.8437303304672241,3781,500,1753959520.5128655,100,7.709637592770997e-09,400,,facebook/dinov2-base,mean,,,,,,,,,,,
7246044725.48189-8c911747-65c0,mri_core_frozen_t1gd_2025-07-31_09-56-10,finished,2025-07-31T09:56:43Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_single_t1gd/runs/7246044725.48189-8c911747-65c0,,91be6679-1650-4a28-805f-a1e762b8c7f8,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,4,False,100,False,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,2e-05,1,False,0,True,False,full,,0.1,4,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,power,3,False,2,False,epochwise,mean,False,0.5,0.7361111640930176,0.6666666269302368,0.5,0.3333333432674408,0.6933891177177429,0.605404257774353,0.5370370149612427,0.5,0.375,0.6765615940093994,0.40138888359069824,0.0,0.5,0.375,0.6782673597335815,2127,500,1753957930.1581616,100,7.709637592770997e-09,200,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,,,
7246044671.95062-e4f8e999-0993,mri_core_pretrained_t1gd_2025-07-31_10-01-29,finished,2025-07-31T10:02:02Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_single_t1gd/runs/7246044671.95062-e4f8e999-0993,,46ee2221-d6d3-4e93-8b0d-3fd2d9414365,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,2e-05,1,False,0,True,False,full,False,0.1,1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,power,3,False,2,True,epochwise,mean,False,0.5,0.8361111283302307,0.7777777910232544,0.5,0.3333333432674408,0.693140983581543,0.6859843730926514,0.6296296119689941,0.5,0.375,0.673425018787384,0.45000001788139343,0.1666666567325592,0.5,0.375,0.679771900177002,4439,500,1753960560.6606882,100,7.709637592770997e-09,800,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,False,,,
7246044456.19506-59eb9504-7ed6,resenc_time_conditioned_pretrained_t1gd_2025-07-31_10-02-26,finished,2025-07-31T10:03:13Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_single_t1gd/runs/7246044456.19506-59eb9504-7ed6,,74eb576f-d468-4b9b-b47e-d61be03485a2,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,2e-05,1,False,0,True,False,full,False,0.1,2,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,power,3,False,2,True,epochwise,cls_token,False,0.5,0.4555555582046509,0.2222222089767456,0.1666666716337204,0.1428571492433548,1.2121843099594116,1.0,1.0,1.0,1.0,0.2051553577184677,0.6277778148651123,0.5,0.5,0.375,1.030275583267212,6668,1000,1753962861.3756535,200,1.5230484360873043e-09,800,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,False,256.0,0.5,64.0
