benchmark,modality,run_id,run_name,created_at,state,noise_type,masking_ratio,test_auroc,test_ap,test_f1,test_balanced_acc,test_loss,val_auroc,val_ap,val_f1,val_balanced_acc,val_loss,train_auroc,train_ap,train_loss,notes,tags
upenn_gbm_survival_1year,flair,7245319568.10407-4bedbd4e-4144,resenc_MDAE_pretrained_flair_2025-08-08_19-24-18,2025-08-08T19:25:03Z,finished,VP,90,0.6185141801834106,0.6082864999771118,0.5846154093742371,0.6055424213409424,0.7895653247833252,0.6674528121948242,0.6865507960319519,0.6254745721817017,0.6251474022865295,0.8354350328445435,0.949276089668274,0.9491862654685974,0.4634427726268768,MDAE ablation Noise Corruption VP M90 on upenn_gbm survival_1year with flair,
upenn_gbm_survival_1year,flair,7245318764.37455-cf210463-5672,resenc_MDAE_pretrained_flair_2025-08-08_19-32-46,2025-08-08T19:33:21Z,finished,VE,90,0.572818398475647,0.5528572797775269,0.5185185670852661,0.5187205076217651,0.8272616863250732,0.6403301954269409,0.6664323806762695,0.5885521769523621,0.5890330076217651,0.8403769731521606,0.9598401188850404,0.9614530205726624,0.4509694576263428,MDAE ablation Noise Corruption VE M90 on upenn_gbm survival_1year with flair,
upenn_gbm_survival_1year,flair,7245317948.56602-a687c556-bc14,resenc_MDAE_pretrained_flair_2025-08-08_19-46-39,2025-08-08T19:47:16Z,finished,Flow,90,0.5114976167678833,0.5449528098106384,0.49985259771347046,0.49985259771347046,0.7667117714881897,0.6696639060974121,0.6673130393028259,0.6486486196517944,0.6505011916160583,0.7547022104263306,0.8684486150741577,0.8651158809661865,0.5517500638961792,MDAE ablation Noise Corruption Flow M90 on upenn_gbm survival_1year with flair,
upenn_gbm_survival_2year,t1,7245319555.13861-cd368645-7dc3,resenc_MDAE_pretrained_t1_2025-08-08_19-24-16,2025-08-08T19:25:01Z,finished,VP,90,0.508643627166748,0.5115596055984497,0.5069040656089783,0.522606372833252,0.6881028413772583,0.49686381220817566,0.5093764066696167,0.44285714626312256,0.5,0.580045759677887,0.5773890614509583,0.5775150060653687,0.5679126381874084,MDAE ablation Noise Corruption VP M90 on upenn_gbm survival_2year with t1,
upenn_gbm_survival_2year,t1,7245318751.55799-38be79a8-249f,resenc_MDAE_pretrained_t1_2025-08-08_19-32-35,2025-08-08T19:33:10Z,finished,VE,90,0.6057181358337402,0.570210337638855,0.4433962404727936,0.5,0.5748763084411621,0.5295698642730713,0.5679936408996582,0.5240384936332703,0.5416666865348816,0.585435152053833,0.7357513904571533,0.6869494915008545,0.5434792637825012,MDAE ablation Noise Corruption VE M90 on upenn_gbm survival_2year with t1,
upenn_gbm_survival_2year,t1,7245317935.68043-6829e017-327c,resenc_MDAE_pretrained_t1_2025-08-08_19-47-34,2025-08-08T19:48:12Z,finished,Flow,90,0.5028811693191528,0.5396648645401001,0.4433962404727936,0.5,0.5818855166435242,0.6424731016159058,0.5981366038322449,0.44285714626312256,0.5,0.5702065825462341,0.7182846069335938,0.6592117547988892,0.5489678978919983,MDAE ablation Noise Corruption Flow M90 on upenn_gbm survival_2year with t1,
upenn_gbm_gtr_status,flair,7245319745.71950-bc8eb070-c72a,resenc_MDAE_pretrained_flair_2025-08-08_19-16-09,2025-08-08T19:16:43Z,finished,VP,90,0.4925595223903656,0.5176771283149719,0.4191863536834717,0.5026785731315613,0.6949281096458435,0.5860507488250732,0.5787841081619263,0.5846154093742371,0.5887681245803833,0.8019748330116272,0.9514490365982056,0.9488275647163392,0.4669961929321289,MDAE ablation Noise Corruption VP M90 on upenn_gbm gtr_status with flair,
upenn_gbm_gtr_status,flair,7245318944.84320-6a834e46-92f5,resenc_MDAE_pretrained_flair_2025-08-08_19-31-03,2025-08-08T19:31:36Z,finished,VE,90,0.5324404835700989,0.5537681579589844,0.48942306637763977,0.4997023940086365,0.6839720010757446,0.6176027059555054,0.6306109428405762,0.5953344702720642,0.6023550629615784,0.7770107388496399,0.9511104822158812,0.9454748630523682,0.4663983881473541,MDAE ablation Noise Corruption VE M90 on upenn_gbm gtr_status with flair,
upenn_gbm_gtr_status,flair,7245318114.41737-44e1b477-73b2,resenc_MDAE_pretrained_flair_2025-08-08_19-45-11,2025-08-08T19:45:58Z,finished,Flow,90,0.5255952477455139,0.5367792248725891,0.4038560688495636,0.49940475821495056,0.6828182935714722,0.6011473536491394,0.5905064940452576,0.5710437297821045,0.57201087474823,0.6996936202049255,0.7836538553237915,0.7845032215118408,0.600487470626831,MDAE ablation Noise Corruption Flow M90 on upenn_gbm gtr_status with flair,
upenn_gbm_gender,flair,7245319798.86483-2487ee17-b5b3,resenc_MDAE_pretrained_flair_2025-08-08_19-22-18,2025-08-08T19:22:57Z,finished,VP,90,0.837689995765686,0.8259414434432983,0.770380437374115,0.7723404169082642,0.5744091868400574,0.929787278175354,0.9283912181854248,0.8277411460876465,0.8223403692245483,0.5177866220474243,0.980327606201172,0.9796507358551024,0.4022377133369446,MDAE ablation Noise Corruption VP M90 on upenn_gbm gender with flair,
upenn_gbm_gender,flair,7245318997.58003-bb0d5a2e-c880,resenc_MDAE_pretrained_flair_2025-08-08_19-29-13,2025-08-08T19:29:55Z,finished,VE,90,0.823252260684967,0.8245039582252502,0.7332826852798462,0.7332826852798462,0.6305088996887207,0.9173252582550048,0.9005383253097534,0.8567054271697998,0.8542553186416626,0.5262025594711304,0.9714961051940918,0.969748854637146,0.4183768630027771,MDAE ablation Noise Corruption VE M90 on upenn_gbm gender with flair,
