ablation_type,total_runs,valid_runs,mean_auroc,std_auroc,min_auroc,max_auroc,median_auroc,q25_auroc,q75_auroc
noise_corruption,112,111,0.6138405491102923,0.1415911608122092,0.3539682626724243,0.9178241491317748,0.584884762763977,0.4953545778989792,0.7334554195404053
masking_ratio,20,20,0.6041666597127915,0.11363433021781645,0.4285714030265808,0.8380951881408691,0.5960317552089691,0.5289682745933533,0.6523809432983398
masking_type,12,12,0.6005290870865186,0.12842630677994274,0.42539680004119873,0.841269850730896,0.6261904239654541,0.4831349179148674,0.6615079045295715
flowmdae,64,64,0.5893105105496943,0.1217619470679301,0.2269841432571411,0.803174614906311,0.617460310459137,0.5083333402872086,0.6654761731624603
other,217,215,0.6259463832821957,0.1343617713952909,0.28730159997940063,0.8821733593940735,0.6333333253860474,0.5184094607830048,0.7475579679012299
