id,name,state,created_at,project,Notes,tags,url,modality,benchmark,config.sam,config.fold,config.task,config.T_max,config.mixup,config.model,config.epochs,config.compile,config.devices,config.metrics,config.subtask,config.nesterov,config.strategy,config.benchmark,config.input_dim,config.optimizer,config.precision,config.scheduler,config.warmstart,config.batch_size,config.cifar_size,config.max_epochs,config.pretrained,config.save_preds,config.warmstart2,config.accelerator,config.input_shape,config.mixup_alpha,config.num_classes,config.num_workers,config.result_plot,config.adaptive_sam,config.modality_idx,config.target_shape,config.undecay_norm,config.weight_decay,config.data_root_dir,config.deterministic,config.learning_rate,config.input_channels,config.random_batches,config.resnet_dropout,config.sync_batchnorm,config.apply_shakedrop,config.finetune_method,config.freeze_backbone,config.label_smoothing,config.test_transforms,config.final_batch_size,config.stochastic_depth,config.train_transforms,config.log_every_n_steps,config.squeeze_excitation,config.zero_init_residual,config.classification_task,config.use_single_modality,config.auto_batch_size_mode,config.auto_batch_size_steps,config.prepare_data_per_node,config.accumulate_grad_batches,config.auto_batch_size_enabled,config.metric_computation_mode,config.token_aggregation_method,config.pretrained_checkpoint_path,config.classification_head_dropout,summary.Test/AP,summary.Test/AUROC,summary.Test/Balanced_Accuracy,summary.Test/F1,summary.Test/loss,summary.Train/AP,summary.Train/AUROC,summary.Train/Balanced_Accuracy,summary.Train/F1,summary.Train/loss,summary.Val/AP,summary.Val/AUROC,summary.Val/Balanced_Accuracy,summary.Val/F1,summary.Val/loss,summary._runtime,summary._step,summary._timestamp,summary._wandb,summary.epoch,summary.lr-AdamW,summary.trainer/global_step,summary.val_ConfusionMatrix_absolute,summary.val_ConfusionMatrix_normalized,metrics.Test_AUROC,metrics.Val_AUROC,metrics.Test_AP,metrics.Val_AP,metrics.Test_F1,metrics.Val_F1,metrics.Test_Balanced_Accuracy,metrics.Val_Balanced_Accuracy,metrics.epoch
7244837151.79222-ea0b6959-6d31,resenc_SwinUNETR_pretrained_t1_2025-08-14_09-18-25,finished,2025-08-14T09:19:08Z,july_stratified_brats18_lgg_vs_hgg_single_t1,Stratified CONT_PRETRAINED_RESENC_SWINUNETR pretrained on brats18 lgg_vs_hgg with t1,[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7244837151.79222-ea0b6959-6d31,t1,brats18_lgg_vs_hgg,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,1,"[160, 160, 160]",False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,False,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/continued_pretraining/Dataset005_OpenMind/SwinUNETRContTrainer__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.48400530219078064,0.39523810148239136,0.5428571701049805,0.5263158082962036,0.7474740743637085,0.9645451307296752,0.9784832000732422,0.8904762268066406,0.8877019882202148,0.4223549962043762,0.5322993993759155,0.5079364776611328,0.5142857432365417,0.4602272808551788,1.0216237306594849,6329,500,1755169474.5380569,{'runtime': 6329},100,3.854818796385494e-08,4300,"{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_absolute_497_f3c8fe75cea770a65dd3.png'], 'format': 'png', 'height': 800, 'width': 800}","{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_normalized_496_93fc4f48173fa01adb45.png'], 'format': 'png', 'height': 800, 'width': 800}",0.39523810148239136,0.5079364776611328,0.48400530219078064,0.5322993993759155,0.5263158082962036,0.4602272808551788,0.5428571701049805,0.5142857432365417,100
7244837402.36915-4641a08b-6514,resenc_pretrained_t1_2025-08-14_09-23-00,finished,2025-08-14T09:23:58Z,july_stratified_brats18_lgg_vs_hgg_single_t1,Stratified CONT_PRETRAINED_RESENC_MAE pretrained on brats18 lgg_vs_hgg with t1,[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7244837402.36915-4641a08b-6514,t1,brats18_lgg_vs_hgg,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,1,"[160, 160, 160]",False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,False,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/continued_pretraining/Dataset005_OpenMind/MAEContTrainer__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.5743981599807739,0.6031745672225952,0.526190459728241,0.5265780687332153,0.6516064405441284,0.9562917351722716,0.9696648716926576,0.9015873074531556,0.8959130048751831,0.4269094169139862,0.4801303446292877,0.4317460358142853,0.4333333373069763,0.379084974527359,1.1057065725326538,5478,500,1755168915.282127,{'runtime': 5478},100,3.854818796385494e-08,4300,"{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_absolute_497_805e1cad76c3f9243b56.png'], 'format': 'png', 'height': 800, 'width': 800}","{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_normalized_496_3cc9341435758e924849.png'], 'format': 'png', 'height': 800, 'width': 800}",0.6031745672225952,0.4317460358142853,0.5743981599807739,0.4801303446292877,0.5265780687332153,0.379084974527359,0.526190459728241,0.4333333373069763,100
7244835640.71111-09a220b1-ff2f,resenc_pretrained_t1_2025-08-14_09-41-29,finished,2025-08-14T09:42:03Z,july_stratified_brats18_lgg_vs_hgg_single_t1,Stratified CONT_PRETRAINED_RESENC_MG pretrained on brats18 lgg_vs_hgg with t1,[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7244835640.71111-09a220b1-ff2f,t1,brats18_lgg_vs_hgg,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,1,"[160, 160, 160]",False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,False,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/continued_pretraining/Dataset005_OpenMind/ModelGenesisContTrainer__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.48530328273773193,0.4285714328289032,0.43095237016677856,0.4316239356994629,0.861494243144989,0.9655832052230836,0.978483259677887,0.8952381014823914,0.9067950248718262,0.4209604859352112,0.6034277081489563,0.6000000238418579,0.5738095045089722,0.5332459807395935,0.9466692209243774,6610,500,1755171132.9692588,{'runtime': 6610},100,3.854818796385494e-08,4300,"{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_absolute_497_172e34539613a21a2654.png'], 'format': 'png', 'height': 800, 'width': 800}","{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_normalized_496_42b7fbf7358bf3c9fd52.png'], 'format': 'png', 'height': 800, 'width': 800}",0.4285714328289032,0.6000000238418579,0.48530328273773193,0.6034277081489563,0.4316239356994629,0.5332459807395935,0.43095237016677856,0.5738095045089722,100
7244835443.12109-81e8546a-8a17,resenc_VoCo_pretrained_t1_2025-08-14_11-01-16,finished,2025-08-14T09:45:40Z,july_stratified_brats18_lgg_vs_hgg_single_t1,Stratified CONT_PRETRAINED_RESENC_VOCO pretrained on brats18 lgg_vs_hgg with t1,[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7244835443.12109-81e8546a-8a17,t1,brats18_lgg_vs_hgg,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,1,"[160, 160, 160]",False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,False,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/continued_pretraining/Dataset005_OpenMind/VoCoContTrainer__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.45251893997192383,0.3920634984970093,0.4095238149166107,0.41323527693748474,0.7600794434547424,0.9682222604751588,0.9776014089584352,0.920634925365448,0.9176480770111084,0.417326956987381,0.5229698419570923,0.47301584482192993,0.4333333373069763,0.379084974527359,1.151524305343628,9023,695,1755175407.6031792,{'runtime': 9023},100,3.854818796385494e-08,4300,"{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_absolute_692_0b8d3d645bc122901f5e.png'], 'format': 'png', 'height': 800, 'width': 800}","{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_normalized_691_6c110195951b7c892485.png'], 'format': 'png', 'height': 800, 'width': 800}",0.3920634984970093,0.47301584482192993,0.45251893997192383,0.5229698419570923,0.41323527693748474,0.379084974527359,0.4095238149166107,0.4333333373069763,100
7244833586.81554-31c778f0-6a61,resenc_SimCLR_pretrained_t1_2025-08-14_10-22-30,finished,2025-08-14T10:23:02Z,july_stratified_brats18_lgg_vs_hgg_single_t1,Stratified CONT_PRETRAINED_RESENC_SIMCLR pretrained on brats18 lgg_vs_hgg with t1,[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7244833586.81554-31c778f0-6a61,t1,brats18_lgg_vs_hgg,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,1,"[160, 160, 160]",False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,False,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/continued_pretraining/Dataset005_OpenMind/SimCLRContTrainer__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.5753289461135864,0.6126984357833862,0.4476190507411957,0.4418901801109314,0.6535558104515076,0.9659856557846068,0.9811286926269532,0.8873015642166138,0.8928954601287842,0.41452768445014954,0.5005291104316711,0.4682539701461792,0.5023809671401978,0.4452119469642639,1.1555092334747314,6579,500,1755173562.113236,{'runtime': 6579},100,3.854818796385494e-08,4300,"{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_absolute_497_b26799afe003ff8f0189.png'], 'format': 'png', 'height': 800, 'width': 800}","{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_normalized_496_7a702ac045f3face6a51.png'], 'format': 'png', 'height': 800, 'width': 800}",0.6126984357833862,0.4682539701461792,0.5753289461135864,0.5005291104316711,0.4418901801109314,0.4452119469642639,0.4476190507411957,0.5023809671401978,100
7244833533.97649-af911de0-2957,resenc_pretrained_t1_2025-08-14_10-49-42,finished,2025-08-14T10:24:31Z,july_stratified_brats18_lgg_vs_hgg_single_t1,Stratified CONT_PRETRAINED_RESENC_VF pretrained on brats18 lgg_vs_hgg with t1,[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7244833533.97649-af911de0-2957,t1,brats18_lgg_vs_hgg,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,1,"[160, 160, 160]",False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,False,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/continued_pretraining/Dataset005_OpenMind/VolumeFusionContTrainer__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.447920560836792,0.3444444537162781,0.3452380895614624,0.33026358485221863,0.8958761096000671,0.9607147574424744,0.9714285731315612,0.8801587224006653,0.8912608623504639,0.4221881926059723,0.48857563734054565,0.46666666865348816,0.5476190447807312,0.4810047149658203,1.062510967254639,5577,512,1755173901.6396792,{'runtime': 5577},100,3.854818796385494e-08,4300,"{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_absolute_509_9428f8699371cc3e6c4b.png'], 'format': 'png', 'height': 800, 'width': 800}","{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_normalized_508_7a0a6567d58912517ac0.png'], 'format': 'png', 'height': 800, 'width': 800}",0.3444444537162781,0.46666666865348816,0.447920560836792,0.48857563734054565,0.33026358485221863,0.4810047149658203,0.3452380895614624,0.5476190447807312,100
7244837352.27659-41a9cde0-04b3,resenc_pretrained_t2_2025-08-14_09-18-25,finished,2025-08-14T09:18:54Z,july_stratified_brats18_lgg_vs_hgg_single_t2,Stratified CONT_PRETRAINED_RESENC_MAE pretrained on brats18 lgg_vs_hgg with t2,[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t2/runs/7244837352.27659-41a9cde0-04b3,t2,brats18_lgg_vs_hgg,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,3,"[160, 160, 160]",False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,False,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/continued_pretraining/Dataset005_OpenMind/MAEContTrainer__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.5783910751342773,0.5865079164505005,0.5,0.42424243688583374,0.6173927187919617,0.917243242263794,0.93721342086792,0.8428571224212646,0.8579734563827515,0.46652987599372864,0.5068634748458862,0.44603174924850464,0.4571428894996643,0.40941914916038513,0.9233239889144896,5283,500,1755168417.0046165,{'runtime': 5283},100,3.854818796385494e-08,4300,"{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_absolute_497_8fdbfd8e960356f2161f.png'], 'format': 'png', 'height': 800, 'width': 800}","{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_normalized_496_084d3727336387d0a7d8.png'], 'format': 'png', 'height': 800, 'width': 800}",0.5865079164505005,0.44603174924850464,0.5783910751342773,0.5068634748458862,0.42424243688583374,0.40941914916038513,0.5,0.4571428894996643,100
7244837102.31707-9fee8215-8462,resenc_SwinUNETR_pretrained_t2_2025-08-14_09-19-07,finished,2025-08-14T09:19:44Z,july_stratified_brats18_lgg_vs_hgg_single_t2,Stratified CONT_PRETRAINED_RESENC_SWINUNETR pretrained on brats18 lgg_vs_hgg with t2,[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t2/runs/7244837102.31707-9fee8215-8462,t2,brats18_lgg_vs_hgg,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,3,"[160, 160, 160]",False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,False,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/continued_pretraining/Dataset005_OpenMind/SwinUNETRContTrainer__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.5864188075065613,0.6412698030471802,0.5309523940086365,0.514893651008606,0.6168723106384277,0.9737275838851928,0.9800705313682556,0.8912698030471802,0.8997972011566162,0.4093652367591858,0.5039809942245483,0.46666666865348816,0.538095235824585,0.4897698163986206,0.985930860042572,5534,500,1755168716.394258,{'runtime': 5534},100,3.854818796385494e-08,4300,"{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_absolute_497_f081d1e57c0694c8a83a.png'], 'format': 'png', 'height': 800, 'width': 800}","{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_normalized_496_726d7b9be6fd196a5d2b.png'], 'format': 'png', 'height': 800, 'width': 800}",0.6412698030471802,0.46666666865348816,0.5864188075065613,0.5039809942245483,0.514893651008606,0.4897698163986206,0.5309523940086365,0.538095235824585,100
7244835591.33156-6c0a668d-d0e1,resenc_pretrained_t2_2025-08-14_09-42-21,finished,2025-08-14T09:42:55Z,july_stratified_brats18_lgg_vs_hgg_single_t2,Stratified CONT_PRETRAINED_RESENC_MG pretrained on brats18 lgg_vs_hgg with t2,[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t2/runs/7244835591.33156-6c0a668d-d0e1,t2,brats18_lgg_vs_hgg,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,3,"[160, 160, 160]",False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,False,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/continued_pretraining/Dataset005_OpenMind/ModelGenesisContTrainer__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.6629252433776855,0.6698412895202637,0.6214286088943481,0.5907692313194275,0.6966695785522461,0.9802811145782472,0.9848324656486512,0.9246031641960144,0.9246031641960144,0.4012323021888733,0.607333242893219,0.6269841194152832,0.6285714507102966,0.5626598596572876,0.8579464554786682,6591,500,1755171165.3618178,{'runtime': 6591},100,3.854818796385494e-08,4300,"{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_absolute_497_d99b193acb6ced881614.png'], 'format': 'png', 'height': 800, 'width': 800}","{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_normalized_496_218dfe42efc3ed9850b0.png'], 'format': 'png', 'height': 800, 'width': 800}",0.6698412895202637,0.6269841194152832,0.6629252433776855,0.607333242893219,0.5907692313194275,0.5626598596572876,0.6214286088943481,0.6285714507102966,100
7244835395.05277-bc1c563f-b208,resenc_VoCo_pretrained_t2_2025-08-14_10-58-23,finished,2025-08-14T09:46:04Z,july_stratified_brats18_lgg_vs_hgg_single_t2,Stratified CONT_PRETRAINED_RESENC_VOCO pretrained on brats18 lgg_vs_hgg with t2,[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t2/runs/7244835395.05277-bc1c563f-b208,t2,brats18_lgg_vs_hgg,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,3,"[160, 160, 160]",False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,False,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/continued_pretraining/Dataset005_OpenMind/VoCoContTrainer__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.6735310554504395,0.6492063403129578,0.6000000238418579,0.5798525810241699,0.7060017585754395,0.9562555551528932,0.964550256729126,0.8722221851348877,0.8775948286056519,0.43064233660697937,0.5795222520828247,0.5714285373687744,0.5595238208770752,0.4962121248245239,0.916612148284912,8695,711,1755174831.677653,{'runtime': 8695},100,3.854818796385494e-08,4300,"{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_absolute_708_64ff939bedcc1f94f77a.png'], 'format': 'png', 'height': 800, 'width': 800}","{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_normalized_707_ac274a7dcb467d2cf25d.png'], 'format': 'png', 'height': 800, 'width': 800}",0.6492063403129578,0.5714285373687744,0.6735310554504395,0.5795222520828247,0.5798525810241699,0.4962121248245239,0.6000000238418579,0.5595238208770752,100
