id,name,state,created_at,config,summary,tags,url,project,notes,epoch,Test/AUROC,Test/AP,Test/F1,Test/Balanced_Accuracy,Train/AP,Train/AUROC,Train/Balanced_Accuracy,Train/F1,Val/AP,Val/AUROC,Val/Balanced_Accuracy,Val/F1
7246073628.57759-b100364f-7601,brainiac_pretrained_flair_2025-07-31_01-53-10,failed,2025-07-31T01:53:31Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 100, 'mixup': False, 'model': 'brainiac', 'epochs': 100, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'input_dim': 3, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 4, 'cifar_size': False, 'max_epochs': 100, 'pretrained': True, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'dropout_prob': 0.2, 'modality_idx': 3, 'target_shape': [128, 128, 128], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 2e-05, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': False, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 4, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'log_every_n_steps': 10, 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': 'cls_token', 'pretrained_checkpoint_path': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt', 'use_brainiac_preprocessing': True, 'classification_head_dropout': 0}","{'_runtime': 1, '_wandb': {'runtime': 1}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246073628.57759-b100364f-7601,july_stratified_ucsf_pdgm_idh_classification_single_flair,Stratified BRAINIAC pretrained on ucsf_pdgm idh_classification with flair,,,,,,,,,,,,,
7246073177.35444-f162764f-79d9,dinov2_frozen_flair_2025-07-31_01-58-50,failed,2025-07-31T01:59:11Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 100, 'mixup': False, 'model': 'dinov2', 'epochs': 50, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'input_dim': 3, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 4, 'cifar_size': False, 'max_epochs': 100, 'pretrained': True, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'modality_idx': 3, 'target_shape': [224, 224, 224], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 2e-05, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': True, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 4, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'dinov2_model_name': 'facebook/dinov2-base', 'log_every_n_steps': 10, 'slice_aggregation': 'mean', 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': 'mean', 'pretrained_checkpoint_path': None, 'use_brainiac_preprocessing': True, 'classification_head_dropout': 0.5}","{'_runtime': 1, '_wandb': {'runtime': 1}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246073177.35444-f162764f-79d9,july_stratified_ucsf_pdgm_idh_classification_single_flair,Stratified DINOV2 frozen on ucsf_pdgm idh_classification with flair,,,,,,,,,,,,,
7246072863.21992-a3bcc085-3fb6,mri_core_frozen_flair_2025-07-31_02-04-19,failed,2025-07-31T02:04:58Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 100, 'depth': 12, 'mixup': False, 'model': 'MRICore', 'epochs': 100, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'embed_dim': 768, 'input_dim': 3, 'mlp_ratio': 4, 'num_heads': 12, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 8, 'cifar_size': False, 'hidden_dim': 512, 'image_size': 224, 'max_epochs': 100, 'patch_size': 16, 'pretrained': False, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'modality_idx': 3, 'target_shape': [224, 224, 224], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 2e-05, 'freeze_encoder': True, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 8, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'log_every_n_steps': 10, 'slice_aggregation': 'mean', 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': 'mean', 'pretrained_checkpoint_path': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth', 'classification_head_dropout': 0.5}","{'_runtime': 1, '_wandb': {'runtime': 1}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246072863.21992-a3bcc085-3fb6,july_stratified_ucsf_pdgm_idh_classification_single_flair,Stratified MRI_CORE frozen on ucsf_pdgm idh_classification with flair,,,,,,,,,,,,,
7246073015.18418-bb6a1480-a554,dinov2_pretrained_flair_2025-07-31_02-05-11,failed,2025-07-31T02:05:33Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 100, 'mixup': False, 'model': 'dinov2', 'epochs': 50, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'input_dim': 3, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 1, 'cifar_size': False, 'max_epochs': 100, 'pretrained': True, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'modality_idx': 3, 'target_shape': [224, 224, 224], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 2e-05, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': False, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 1, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'dinov2_model_name': 'facebook/dinov2-base', 'log_every_n_steps': 10, 'slice_aggregation': 'mean', 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': 'mean', 'pretrained_checkpoint_path': None, 'use_brainiac_preprocessing': True, 'classification_head_dropout': 0.5}","{'_runtime': 1, '_wandb': {'runtime': 1}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246073015.18418-bb6a1480-a554,july_stratified_ucsf_pdgm_idh_classification_single_flair,Stratified DINOV2 pretrained on ucsf_pdgm idh_classification with flair,,,,,,,,,,,,,
7246073473.53997-d9971fe4-d2a6,brainiac_scratch_flair_2025-07-31_02-05-11,failed,2025-07-31T02:05:34Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 100, 'mixup': False, 'model': 'brainiac', 'epochs': 100, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'input_dim': 3, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 4, 'cifar_size': False, 'max_epochs': 100, 'pretrained': False, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'dropout_prob': 0.2, 'modality_idx': 3, 'target_shape': [128, 128, 128], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 2e-05, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': False, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 4, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'log_every_n_steps': 10, 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': 'cls_token', 'pretrained_checkpoint_path': None, 'use_brainiac_preprocessing': True, 'classification_head_dropout': 0}","{'_runtime': 2, '_wandb': {'runtime': 2}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246073473.53997-d9971fe4-d2a6,july_stratified_ucsf_pdgm_idh_classification_single_flair,Stratified BRAINIAC scratch on ucsf_pdgm idh_classification with flair,,,,,,,,,,,,,
7246072709.67607-1986efed-13a5,mri_core_pretrained_flair_2025-07-31_02-07-11,failed,2025-07-31T02:07:45Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 100, 'depth': 12, 'mixup': False, 'model': 'MRICore', 'epochs': 100, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'embed_dim': 768, 'input_dim': 3, 'mlp_ratio': 4, 'num_heads': 12, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 1, 'cifar_size': False, 'hidden_dim': 512, 'image_size': 224, 'max_epochs': 100, 'patch_size': 16, 'pretrained': False, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'modality_idx': 3, 'target_shape': [224, 224, 224], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 2e-05, 'freeze_encoder': False, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': False, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 1, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'log_every_n_steps': 10, 'slice_aggregation': 'mean', 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': 'mean', 'pretrained_checkpoint_path': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth', 'classification_head_dropout': 0.5}","{'_runtime': 2, '_wandb': {'runtime': 2}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246072709.67607-1986efed-13a5,july_stratified_ucsf_pdgm_idh_classification_single_flair,Stratified MRI_CORE pretrained on ucsf_pdgm idh_classification with flair,,,,,,,,,,,,,
7246072566.73982-817464e9-e53b,resenc_pretrained_flair_2025-07-31_02-09-28,failed,2025-07-31T02:10:04Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 100, 'mixup': False, 'model': 'ResEncoder_Classifier', 'epochs': 100, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'input_dim': 3, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 4, 'cifar_size': False, 'max_epochs': 100, 'pretrained': True, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'modality_idx': 3, 'target_shape': [160, 160, 160], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 2e-05, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': False, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 4, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'log_every_n_steps': 10, 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': None, 'pretrained_checkpoint_path': '/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth', 'classification_head_dropout': 0.2}","{'_runtime': 2, '_wandb': {'runtime': 2}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246072566.73982-817464e9-e53b,july_stratified_ucsf_pdgm_idh_classification_single_flair,Stratified RESENC pretrained on ucsf_pdgm idh_classification with flair,,,,,,,,,,,,,
7246072402.24028-709b0f1d-278f,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-07-31_02-12-39,failed,2025-07-31T02:13:51Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 200, 'mixup': False, 'model': 'ResEncoder_Classifier', 'epochs': 200, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'input_dim': 3, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 1, 'cifar_size': False, 'max_epochs': 200, 'pretrained': True, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'modality_idx': 3, 'target_shape': [160, 160, 160], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 5e-06, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': False, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 1, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'log_every_n_steps': 10, 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': None, 'pretrained_checkpoint_path': '/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth', 'classification_head_dropout': 0.2}","{'_runtime': 2, '_wandb': {'runtime': 2}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246072402.24028-709b0f1d-278f,july_stratified_ucsf_pdgm_idh_classification_single_flair,Stratified RESENC_MDAE pretrained on ucsf_pdgm idh_classification with flair,,,,,,,,,,,,,
7246072254.16203-2a75561b-c9c4,resenc_multimodal_mm_mdae_pretrained_pretrained_flair_2025-07-31_02-14-25,failed,2025-07-31T02:14:50Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 100, 'mixup': False, 'model': 'ResEncoderMultiModal_Classifier', 'epochs': 100, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'input_dim': 3, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 4, 'cifar_size': False, 'max_epochs': 100, 'pretrained': True, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'modality_idx': 3, 'target_shape': [160, 160, 160], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 2e-05, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': False, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 4, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'log_every_n_steps': 10, 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': None, 'pretrained_checkpoint_path': '/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth', 'classification_head_dropout': 0.2}","{'_runtime': 2, '_wandb': {'runtime': 2}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246072254.16203-2a75561b-c9c4,july_stratified_ucsf_pdgm_idh_classification_single_flair,Stratified RESENC_MM_PRETRAINED pretrained on ucsf_pdgm idh_classification with flair,,,,,,,,,,,,,
7246072108.64132-ab921349-b20d,resenc_time_conditioned_pretrained_flair_2025-07-31_02-16-52,failed,2025-07-31T02:17:37Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 200, 'mixup': False, 'model': 'ResEncTimeConditioned', 'epochs': 200, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'time_dim': 256, 'benchmark': False, 'input_dim': 3, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 1, 'cifar_size': False, 'max_epochs': 200, 'pretrained': True, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'dropout_rate': 0.5, 'modality_idx': 3, 'target_shape': [160, 160, 160], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 5e-06, 'freeze_encoder': False, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': False, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 1, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'log_every_n_steps': 10, 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'learned_sinusoidal_dim': 64, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': 'cls_token', 'pretrained_checkpoint_path': '/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth', 'classification_head_dropout': 0.5}","{'_runtime': 2, '_wandb': {'runtime': 2}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246072108.64132-ab921349-b20d,july_stratified_ucsf_pdgm_idh_classification_single_flair,Stratified RESENC_TIME_CONDITIONED pretrained on ucsf_pdgm idh_classification with flair,,,,,,,,,,,,,
