run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step
7247424471.80214-34828d6f-1fd7,brainiac_multimodal_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-15_10-38-36,finished,2025-07-15T10:39:05Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_+men_vs_met/runs/7247424471.80214-34828d6f-1fd7,,739a0dc2-04ca-4127-b895-fb092d2156c3,t-jiachentu,0.0001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-05,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,False,False,1,epochwise,cls_token,True,0,1.0,1.0,1.0,1.0,0.32943466305732727,0.7019309401512146,0.6981981992721558,0.5540540814399719,0.4489123225212097,1.0798768997192385,38961,1799,1752614906.826629,299.0,3.147162264971471e-09,67799
7247424500.50905-67fc1f76-6687,brainmvp_multimodal_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-15_10-41-54,finished,2025-07-15T10:42:15Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_+men_vs_met/runs/7247424500.50905-67fc1f76-6687,,c1b97921-87f3-458e-8ca5-1c29c332f858,t-jiachentu,0.0001,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/BrainMVP/checkpoint_final.pth,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,False,False,1,epochwise,cls_token,True,0,0.9982286691665648,0.9981964826583862,0.9868658781051636,0.98671293258667,0.33881935477256775,0.882304310798645,0.9265419244766236,0.8697158694267273,0.8683298826217651,0.5005477070808411,15945,1799,1752592081.02166,299.0,3.147162264971471e-09,17099
7247423612.38634-e67799c1-64f7,brainiac_multimodal_scratch_multi_t1n_t1c_t2w_t2f_2025-07-15_11-48-45,failed,2025-07-15T11:49:11Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_+men_vs_met/runs/7247423612.38634-e67799c1-64f7,,0fd89cb4-44ed-4eee-aaa8-116aea2cc841,t-jiachentu,0.0001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,4,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-05,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,False,False,1,epochwise,cls_token,True,0,,,,,,,,,,,129,0,1752580259.490589,,4.761904761904762e-06,0
7247394974.43506-118f1b16-b68a,brainiac_multimodal_scratch_multi_t1n_t1c_t2w_t2f_2025-07-15_18-54-08,failed,2025-07-15T18:54:36Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_+men_vs_met/runs/7247394974.43506-118f1b16-b68a,,c30845cb-497b-4cb4-9fca-0d15541b26cb,t-jiachentu,0.0001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,1,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-05,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,False,False,1,epochwise,cls_token,True,0,0.5181330442428589,0.5221908092498779,0.5181918144226074,0.5176897048950195,0.711588978767395,0.606095016002655,0.6188496351242065,0.5,0.3391304314136505,0.7142864465713501,2370,92,1752607887.6543114,14.0,7.61904761904762e-05,15
