benchmark,run_name,pattern,auroc,modality
upenn_gbm_age_group,resenc_multimodal_mm_mdae_pretrained_pretrained_t1gd_2025-08-05_11-31-50,resenc_multimodal_mm_mdae_pretrained_pretrained_t1gd,0.8139467239379883,T1gd
upenn_gbm_age_group,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_07-50-00,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1,0.811921238899231,T1
upenn_gbm_age_group,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-08-01_04-41-32,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd,0.8107638359069824,T1gd
upenn_gbm_age_group,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_21-10-08,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1,0.8087384700775146,T1
upenn_gbm_age_group,resenc_MDAE_pretrained_t1gd_2025-08-08_19-27-34,resenc_MDAE_pretrained_t1gd,0.801360011100769,T1gd
upenn_gbm_age_group,resenc_MDAE_pretrained_t1_2025-08-08_19-46-49,resenc_MDAE_pretrained_t1,0.7980324029922485,T1
upenn_gbm_age_group,resenc_MDAE_pretrained_t1_2025-08-08_19-27-16,resenc_MDAE_pretrained_t1,0.7939814925193787,T1
upenn_gbm_age_group,eva_mdae_pretrained_t1gd_2025-08-07_02-50-00,eva_mdae_pretrained_t1gd,0.7915220260620117,T1gd
upenn_gbm_age_group,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-02_10-15-38,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1,0.7887731790542603,T1
upenn_gbm_age_group,resenc_MDAE_pretrained_t2_2025-08-08_19-42-08,resenc_MDAE_pretrained_t2,0.7818287014961243,T2
upenn_gbm_age_group,resenc_MDAE_pretrained_t1gd_2025-08-08_19-42-16,resenc_MDAE_pretrained_t1gd,0.7815393209457397,T1gd
upenn_gbm_age_group,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-08-02_09-37-45,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd,0.7789351940155029,T1gd
upenn_gbm_age_group,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-08-01_06-03-09,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd,0.7712674140930176,T1gd
upenn_gbm_age_group,resenc_MDAE_pretrained_t1_2025-08-08_19-22-26,resenc_MDAE_pretrained_t1,0.7696759104728699,T1
upenn_gbm_age_group,eva_mdae_pretrained_t2_2025-08-07_02-50-13,eva_mdae_pretrained_t2,0.7666377425193787,T2
upenn_gbm_age_group,eva_mdae_pretrained_t1_2025-08-07_02-49-21,eva_mdae_pretrained_t1,0.7514467239379883,T1
upenn_gbm_age_group,eva_mdae_pretrained_t1_2025-08-06_11-06-05,eva_mdae_pretrained_t1,0.741319477558136,T1
upenn_gbm_age_group,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-08-05_11-17-06,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2,0.7394386529922485,T2
upenn_gbm_age_group,resenc_MDAE_pretrained_t1gd_2025-08-08_19-22-25,resenc_MDAE_pretrained_t1gd,0.7355324029922485,T1gd
upenn_gbm_age_group,eva_mdae_pretrained_flair_2025-08-07_02-50-14,eva_mdae_pretrained_flair,0.7160011529922485,FLAIR
upenn_gbm_age_group,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-08-01_05-27-00,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2,,T2
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-08-02_10-10-51,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f,0.972565531730652,T2f
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-08-02_09-28-10,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f,0.9695693254470824,T2f
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-08-01_06-55-01,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f,0.9695693254470824,T2f
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-07-31_23-32-18,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w,0.9660580158233644,T2w
brats23_gli_vs_met,resenc_multimodal_mm_mdae_pretrained_pretrained_t2f_2025-08-05_11-16-58,resenc_multimodal_mm_mdae_pretrained_pretrained_t2f,0.9655430316925048,T2f
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-08-05_11-08-07,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f,0.9655430316925048,T2f
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-08-05_11-13-20,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f,0.9655430316925048,T2f
brats23_gli_vs_met,resenc_multimodal_mm_mdae_pretrained_pretrained_t2f_2025-08-05_11-28-18,resenc_multimodal_mm_mdae_pretrained_pretrained_t2f,0.9655430316925048,T2f
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-08-05_16-26-34,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f,0.9642322063446044,T2f
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n_2025-07-31_23-32-28,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n,0.9634363651275636,T1n
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-08-05_16-26-33,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w,0.9617041349411012,T2w
