run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_dinov2_model_name,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_classification_head_dropout,metric__runtime,metric__step,metric__timestamp,metric_lr-AdamW,metric_trainer/global_step,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric_epoch
1v2ieioz,dinov2_frozen_t1w_2025-07-13_05-26-58,failed,2025-07-13T05:27:09Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation_dinov2_frozen/runs/1v2ieioz,,6c223e7b-1757-42c6-a3f4-bf0c41ae5c7a,t-jiachentu,0.0001,False,0,Classification,50,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,True,20,2,False,5,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,4,False,0,True,False,full,True,0.2,False,batchgenerators.get_training_transforms,facebook/dinov2-base,1,mean,False,False,mgmt_methylation,True,False,2,epochwise,mean,0.5,6.079287401,0.0,1752384434.9524112,4.761904761904762e-06,0.0,,,,,,,,,,,
c5fl6v0j,dinov2_frozen_t1w_2025-07-13_05-42-07,crashed,2025-07-13T05:42:18Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation_dinov2_frozen/runs/c5fl6v0j,,8c094e9a-93d6-470b-9725-5d053eea8fa4,t-jiachentu,0.0001,False,0,Classification,50,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,True,20,4,False,5,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,1,False,0,True,False,full,True,0.2,False,batchgenerators.get_training_transforms,facebook/dinov2-base,1,mean,False,False,mgmt_methylation,True,False,2,epochwise,mean,0.5,,,,,,,,,,,,,,,,
7247613974.01466-61bc75ed-e151,dinov2_frozen_t1w_2025-07-13_06-03-30,finished,2025-07-13T06:03:54Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation_dinov2_frozen/runs/7247613974.01466-61bc75ed-e151,,fab808cd-043e-467e-b8ed-fbbde71643f0,t-jiachentu,0.0001,False,0,Classification,50,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,True,20,2,False,5,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,1,False,0,True,False,full,True,0.2,False,batchgenerators.get_training_transforms,facebook/dinov2-base,1,mean,False,False,mgmt_methylation,True,False,2,epochwise,mean,0.5,105.0,29.0,1752386740.527537,2.3809523809523817e-05,14.0,0.750272810459137,0.625,0.75,0.8039215803146362,0.6064965724945068,0.7115079164505005,0.6111111044883728,0.5,0.25,0.8403781056404114,4.0
7247611771.52316-92aa1e04-9ea0,dinov2_frozen_t1w_2025-07-13_06-40-31,finished,2025-07-13T06:40:55Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation_dinov2_frozen/runs/7247611771.52316-92aa1e04-9ea0,,ae90f6d2-de35-455e-b3a4-2552ba3faa8b,t-jiachentu,0.0001,False,0,Classification,50,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,1,False,0,True,False,full,True,0.2,False,batchgenerators.get_training_transforms,facebook/dinov2-base,1,mean,False,False,mgmt_methylation,True,False,2,epochwise,mean,0.5,14033.0,1799.0,1752402889.864222,2.06107373853779e-05,8999.0,0.6137850880622864,0.6218870878219604,0.5942100286483765,0.5910142660140991,0.6774417757987976,0.48567745089530945,0.47526082396507263,0.4900148808956146,0.3311011791229248,0.7101476192474365,299.0
