Method,Mean_AUROC,Std_AUROC,Median_AUROC,Min_AUROC,Max_AUROC,Count
MDAE,0.7652,0.1377,0.7544,0.6068,0.9789,15
BrainIAC,0.6982,0.1326,0.7166,0.5122,0.9789,13
VoCo,0.7051,0.1648,0.6905,0.4925,0.9796,15
DinoV2,0.6793,0.1375,0.6891,0.5179,0.9886,15
MAE,0.6704,0.1616,0.6103,0.3233,0.9725,15
SimCLR,0.6421,0.1516,0.6078,0.4725,0.9623,15
MRI-Core,0.6083,0.0804,0.6042,0.4897,0.7595,15
BrainMVP,0.6247,0.1167,0.5802,0.4675,0.8514,15
