run_id,run_name,project,modality,model,learning_rate,batch_size,epochs,epoch,test_balanced_accuracy,test_accuracy,test_f1,test_auc,test_precision,test_recall,test_sensitivity,test_specificity,val_balanced_accuracy,val_f1,val_auc,notes
7245882236.29675-0c28d584-0ab9,brainiac_pretrained_t1_2025-08-02_07-05-13,july_stratified_upenn_gbm_survival_18month_single_t1,T1,brainiac,6e-05,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5498001575469971,0.5483455657958984,,pretrained | timestamped
7245875964.90958-cb5e3d6f-9821,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-02_10-15-55,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncoder_Classifier,0.0001,4.0,200.0,200.0,0.5968841314315796,,0.5977272987365723,,,,,,0.5088274478912354,0.48076924681663513,,pretrained | model_ResEncoder_Classifier | timestamped
7245875247.34836-951a415b-504a,resenc_time_conditioned_pretrained_t1_2025-08-02_08-57-26,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncTimeConditioned,8e-05,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | model_ResEncTimeConditioned | timestamped
7245874336.96530-dab60890-c002,resenc_pretrained_t1_2025-08-02_09-20-03,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncoder_Classifier,0.0001,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | model_ResEncoder_Classifier | timestamped
7245873508.20385-dcef2497-61b4,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-02_09-32-16,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncoder_Classifier,0.0001,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | model_ResEncoder_Classifier | timestamped
7245828949.66268-d75a50bc-ffbb,resenc_time_conditioned_pretrained_t1_2025-08-02_21-49-17,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncTimeConditioned,0.0001,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | model_ResEncTimeConditioned | timestamped
7245826429.98458-507da87a-2f71,resenc_time_conditioned_pretrained_t1_2025-08-02_22-36-50,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncTimeConditioned,6e-05,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | model_ResEncTimeConditioned | timestamped
7245824209.67994-92153def-2ddf,resenc_time_conditioned_pretrained_t1_2025-08-02_23-14-01,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncTimeConditioned,2e-05,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.541472315788269,0.5243406891822815,,pretrained | model_ResEncTimeConditioned | timestamped
7245820105.89375-1c1893f7-71d8,resenc_time_conditioned_pretrained_t1_2025-08-03_00-17-07,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncTimeConditioned,8e-05,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | model_ResEncTimeConditioned | timestamped
7245740585.00741-042fb4d7-cd51,dinov2_pretrained_t1_2025-08-03_22-30-06,july_stratified_upenn_gbm_survival_18month_single_t1,T1,dinov2,8e-05,4.0,50.0,200.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | timestamped
7245739034.05373-9836c307-2a88,mri_core_pretrained_t1_2025-08-03_22-55-50,july_stratified_upenn_gbm_survival_18month_single_t1,T1,MRICore,0.0001,1.0,100.0,100.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | model_MRICore | timestamped
7245738746.85315-ff509311-5398,resenc_pretrained_t1_2025-08-03_22-59-37,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncoder_Classifier,8e-05,1.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | model_ResEncoder_Classifier | timestamped
7245718487.27582-c4e13fd3-9d80,brainiac_pretrained_t1_2025-08-04_04-36-57,july_stratified_upenn_gbm_survival_18month_single_t1,T1,brainiac,6e-05,1.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | timestamped
7245718434.32656-62cb6152-7308,brainiac_scratch_t1_2025-08-04_04-36-57,july_stratified_upenn_gbm_survival_18month_single_t1,T1,brainiac,6e-05,1.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,scratch | timestamped
7245717534.43975-1a3bda42-946a,brainmvp_pretrained_t1_2025-08-04_04-46-26,july_stratified_upenn_gbm_survival_18month_single_t1,T1,brainmvp,6e-05,1.0,200.0,200.0,0.5186627507209778,,0.32954543828964233,,,,,,0.5,0.4030612111091614,,pretrained | timestamped
7245696696.12637-8b25f02e-34fe,resenc_SwinUNETR_pretrained_t1_2025-08-04_10-33-16,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncoder_Classifier,8e-05,4.0,200.0,200.0,0.5590717196464539,,0.5596632957458496,,,,,,0.563457727432251,0.5646704435348511,,pretrained | model_ResEncoder_Classifier | timestamped
