run_id,run_name,state,created_at,url,project,project_variant,metric_Test_AUROC,metric_Test_AP,metric_Test_F1,metric_Test_Balanced_Accuracy,metric_epoch,metric_Val_AUROC,metric_Val_AP,metric_Val_F1,metric_Val_Balanced_Accuracy,metric_Train_AP,metric_Train_AUROC,metric_Train_Balanced_Accuracy,metric_Train_F1,config_model,config_learning_rate,config_batch_size,config_epochs,method_extracted,benchmark,modalities
7246479899.04367-c2fcbef0-3904,mri_core_frozen_multi_flair_t1_t1ce_t2_2025-07-26_16-03-47,crashed,2025-07-26T09:10:11Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246479899.04367-c2fcbef0-3904,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,,,,,,,,,,,,,,,,,,mri_core_frozen,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246478193.52404-08ac4b57-f021,mri_core_pretrained_multi_flair_t1_t1ce_t2_2025-07-26_09-37-02,failed,2025-07-26T09:37:29Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246478193.52404-08ac4b57-f021,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,,,,,,,,,,,,,,,,,,mri_core_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246476491.60470-d6b04da5-a4dc,mri_core_frozen_multi_flair_t1_t1ce_t2_2025-07-26_21-06-11,crashed,2025-07-26T10:07:41Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246476491.60470-d6b04da5-a4dc,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,,,,,6.0,0.6142857074737549,0.6544095277786255,0.42424243688583374,0.5,0.5366146564483643,0.5349206328392029,0.5007936358451843,0.47446808218955994,mri_core_frozen,0.001,4.0,50.0,mri_core_frozen,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246476009.77295-7da92e6e-1426,mri_core_pretrained_multi_flair_t1_t1ce_t2_2025-07-26_10-15-57,failed,2025-07-26T10:16:24Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246476009.77295-7da92e6e-1426,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,,,,,,,,,,,,,,,,,,mri_core_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246426128.84636-35eae8a7-82c6,mri_core_pretrained_multi_flair_t1_t1ce_t2_2025-07-26_23-59-27,failed,2025-07-26T23:59:43Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246426128.84636-35eae8a7-82c6,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,,,,,,,,,,,,,,mri_core_finetune,1e-05,4.0,50.0,mri_core_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246424742.42640-c5b55bf9-969b,mri_core_frozen_multi_flair_t1_t1ce_t2_2025-07-27_00-20-19,crashed,2025-07-27T00:20:47Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246424742.42640-c5b55bf9-969b,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,,,,,1.0,0.5857142210006714,0.5986165404319763,0.42424243688583374,0.5,0.4963453412055969,0.4560846388339996,0.5055555701255798,0.46917960047721863,mri_core_frozen,1e-05,4.0,50.0,mri_core_frozen,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246326240.67960-d2bd560b-9af8,mri_core_frozen_multi_flair_t1_t1ce_t2_2025-07-28_03-45-09,finished,2025-07-28T03:45:26Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246326240.67960-d2bd560b-9af8,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,0.5571428537368774,0.6158014535903931,0.42424243688583374,0.5,300.0,0.6428571939468384,0.634270429611206,0.42424243688583374,0.5,0.7372448444366455,0.7760140895843506,0.6198412775993347,0.6328896284103394,mri_core_frozen,1e-05,4.0,50.0,mri_core_frozen,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246325432.94273-1afa439d-e8cc,mri_core_pretrained_multi_flair_t1_t1ce_t2_2025-07-28_04-04-12,failed,2025-07-28T04:04:38Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246325432.94273-1afa439d-e8cc,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,,,,,,,,,,,,,,mri_core_finetune,1e-05,4.0,50.0,mri_core_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246324805.51717-506b2c2c-8965,dinov2_pretrained_multi_flair_t1_t1ce_t2_2025-07-28_04-08-21,failed,2025-07-28T04:09:06Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246324805.51717-506b2c2c-8965,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,,,,,,,,,,,,,,dinov2,1e-05,1.0,50.0,dinov2_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246324234.97631-d954fa61-47f0,mri_core_pretrained_multi_flair_t1_t1ce_t2_2025-07-28_04-12-43,failed,2025-07-28T04:12:59Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246324234.97631-d954fa61-47f0,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,,,,,,,,,,,,,,mri_core_finetune,1e-05,4.0,50.0,mri_core_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
