run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,config_name,config_metrics,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_train_acc_epoch,metric_train_acc_step,metric_train_loss_epoch,metric_train_loss_step,metric_trainer/global_step,metric_val_acc,metric_val_loss
mz93esce,brainiac_scratch_2025-07-11_09-08-41,finished,2025-07-11T09:08:53Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_brainiac_scratch/runs/mz93esce,,a0bce3dd-523b-446c-9e83-903d3dd50d1e,t-jiachentu,0.001,False,0,Classification,100,False,BrainIACModel,100,False,1,multiclass,False,auto,False,2,SGD,16-mixed,CosineAnneal,False,0,4,100,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,0.0001,1,False,0,True,False,full,False,0.1,False,batchgenerators.get_training_transforms,1,False,False,dss_1year,True,False,1,epochwise,cls_token,True,0,,,,,,,,,,,,,,
7247775021.46701-75a932a3-2bf8,brainiac_scratch_2025-07-11_09-21-00,finished,2025-07-11T09:21:30Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_brainiac_scratch/runs/7247775021.46701-75a932a3-2bf8,,3691d33a-9d8c-429a-a8b2-98d21c428356,t-jiachentu,0.001,False,0,Classification,100,False,BrainIACModel,100,False,1,multiclass,False,auto,False,2,SGD,16-mixed,CosineAnneal,False,0,4,100,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,0.0001,1,False,0,True,False,full,False,0.1,False,batchgenerators.get_training_transforms,1,False,False,dss_1year,True,False,1,epochwise,cls_token,True,0,BrainIACModel,"['f1', 'balanced_acc', 'ap', 'auroc']",4586.0,2799.0,1752230276.6692915,99.0,1.0244252618962855e-06,0.7551020383834839,1.0,0.5326115489006042,0.349273681640625,2499.0,0.5428571701049805,0.9158858060836792
