run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_classification_head_dropout,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_learning_rate,config_freeze_backbone,config_pretrained_path,config_token_aggregation_method,config_use_brainiac_preprocessing,config_dinov2_model_name,config_slice_aggregation,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,config_final_batch_size,config_auto_batch_size_mode,config_auto_batch_size_steps,config_auto_batch_size_enabled
7247353564.24557-6322c43f-6f33,BaseMDAETrainer_RandomMask_Flow_BS48_2000ep_20250716_062427,finished,2025-07-16T06:25:01Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_t1/runs/7247353564.24557-6322c43f-6f33,,ba2001bb-bee2-4975-8eeb-712a7f5dbd14,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,0.2,0.9922667741775512,0.991887092590332,0.9626984000205994,0.9693987369537354,0.3577178716659546,0.47376179695129395,0.4285714030265808,0.5261905193328857,0.4750714600086212,1.140959620475769,12974,1799,1752660076.2541492,299,3.1471622649714703e-10,5399,,,,,,,,,,,,,,,,,
7247353181.94119-818d1060-41da,BaseMDAETrainer_Flow90_b48_2000ep_20250716_063200,finished,2025-07-16T06:32:33Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_t1/runs/7247353181.94119-818d1060-41da,,f68843e9-84bf-4225-acc4-098dddd78cdb,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_Flow90_b48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,0.2,0.9991867542266846,0.9994709491729736,0.9920635223388672,0.9851304292678832,0.3500741124153137,0.4622978270053863,0.3523809313774109,0.39047619700431824,0.3664655387401581,1.2044123411178589,11907,1799,1752659461.1210306,299,3.1471622649714703e-10,5399,,,,,,,,,,,,,,,,,
7247353283.06822-78774eb7-e9a2,BaseEMDAETrainer_BS48_90Mask_1500ep_20250716_063408,finished,2025-07-16T06:34:43Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_t1/runs/7247353283.06822-78774eb7-e9a2,,34b6bce5-4e58-49ae-ba37-f023cddbb48e,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseEMDAETrainer_BS48_90Mask_1500ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,0.2,0.9989664554595948,0.9992945194244384,0.984920620918274,0.984920620918274,0.3514595627784729,0.4478020370006562,0.3365079164505005,0.43095239996910095,0.3500770330429077,1.3037488460540771,12927,1799,1752660610.9724886,299,3.1471622649714703e-10,5399,,,,,,,,,,,,,,,,,
7247353067.13504-ca230102-a95a,BaseMDAETrainer_Flow90_b48_2000ep_20250716_063453,finished,2025-07-16T06:35:27Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_t1/runs/7247353067.13504-ca230102-a95a,,d16456a0-4957-49f3-81bb-aa9b59dfdba8,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_Flow90_b48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,0.2,0.9991867542266846,0.9994709491729736,0.9920635223388672,0.9851304292678832,0.3500741124153137,0.4622978270053863,0.3523809313774109,0.39047619700431824,0.3664655387401581,1.2044123411178589,12642,1799,1752660370.9188168,299,3.1471622649714703e-10,5399,,,,,,,,,,,,,,,,,
7247352090.96283-979f6154-8b6a,MAE_20250716_064345,finished,2025-07-16T06:44:17Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_t1/runs/7247352090.96283-979f6154-8b6a,,9214f217-ccf4-4f6f-aead-87ebf39e2cb0,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,0.2,0.9950313568115234,0.9955908060073853,0.984920620918274,0.984920620918274,0.35986196994781494,0.5866267681121826,0.5714285373687744,0.5047619342803955,0.46763283014297485,0.8640229105949402,12051,1799,1752660309.6526508,299,3.1471622649714703e-10,5399,,,,,,,,,,,,,,,,,
7247351744.78557-6fcabbdf-1af2,VF_20250716_065354,finished,2025-07-16T06:54:27Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_t1/runs/7247351744.78557-6fcabbdf-1af2,,0731446a-5ab9-492d-96f5-31cc87eb64c0,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-VF/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,0.2,0.9951083064079284,0.9966490268707277,0.9626984000205994,0.9693987369537354,0.3607744574546814,0.5750805735588074,0.6126984357833862,0.5642857551574707,0.4203389883041382,1.1121230125427246,12653,1799,1752661521.3052547,299,3.1471622649714703e-10,5399,,,,,,,,,,,,,,,,,
7247349986.30656-c8dc82f3-55fd,brainmvp_pretrained_20250716_072411,finished,2025-07-16T07:24:31Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_t1/runs/7247349986.30656-c8dc82f3-55fd,,7ef6e0ce-a8ea-4044-a5c4-060cbe8fe1ce,t-jiachentu,0.0001,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,False,20,6,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,0.0,0.8175468444824219,0.8601410388946533,0.7595238089561462,0.766987681388855,0.518828272819519,0.5193564891815186,0.5047619342803955,0.5047619342803955,0.501748263835907,0.7904482483863831,13235,1799,1752663903.220678,299,3.147162264971471e-09,8699,0.2,5e-05,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,cls_token,,,,,,,,,,,,
7247350159.36670-6fa5e4cf-c1f3,brainiac_pretrained_2025-07-16_07-24-18,finished,2025-07-16T07:24:41Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_t1/runs/7247350159.36670-6fa5e4cf-c1f3,,acbec2cf-58b1-4e4a-bd2c-decbb51b46b1,t-jiachentu,0.0001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,False,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,0.0,0.9916613698005676,0.9936507940292358,0.9222222566604614,0.9443178176879884,0.38642075657844543,0.5770530700683594,0.6031745672225952,0.5428571701049805,0.42105263471603394,1.4710509777069092,17793,1799,1752668470.6788938,299,3.147162264971471e-09,12899,0.2,5e-05,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,cls_token,True,,,,,,,,,,,
7247350041.91652-e2c110e9-4390,brainiac_pretrained_2025-07-16_07-24-35,finished,2025-07-16T07:25:00Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_t1/runs/7247350041.91652-e2c110e9-4390,,2e2310d6-edf0-4513-868d-a39f0a755635,t-jiachentu,0.0001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,False,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,0.0,0.9888683557510376,0.992768943309784,0.9071428775787354,0.9284086227416992,0.3894922435283661,0.5499323010444641,0.5,0.4285714328289032,0.3149460554122925,1.5956714153289795,17679,1799,1752668376.5308175,299,3.147162264971471e-09,12899,0.2,5e-05,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,cls_token,True,,,,,,,,,,,
7247349888.64285-6416ef27-52cd,dinov2_pretrained_20250716_072515,finished,2025-07-16T07:25:37Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_t1/runs/7247349888.64285-6416ef27-52cd,,253172b0-161e-4761-b38e-026d4c1731cc,t-jiachentu,0.0001,False,0,Classification,50,False,dinov2,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,False,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,4,epochwise,0.5,0.5609414577484131,0.6046737432479858,0.4960317313671112,0.4222972989082336,0.6167694330215454,0.5022867918014526,0.4595237970352173,0.5,0.42424243688583374,0.6226540207862854,21821,1799,1752672554.0629363,299,2.06107373853779e-05,12899,,5e-05,False,,mean,,facebook/dinov2-base,mean,,,,,,,,,
