run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_dropout_rate,config_freeze_encoder,config_learned_sinusoidal_dim,config_dinov2_model_name,config_slice_aggregation,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size
7245191824.90205-a9f04534-5bf7,brainiac_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_06-51-38,finished,2025-08-10T06:51:58Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7245191824.90205-a9f04534-5bf7,,283a447f-d4b9-4472-883d-ffc5724b7574,t-jiachentu,False,0,Classification,200.0,False,brainiac,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,6e-05,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,60.0,False,False,gli_vs_men,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,True,0.0,0.5163059830665588,0.5381617546081543,0.5444883108139038,0.43224266171455383,1.2436397075653076,0.9999575018882751,0.9999885559082032,0.9862385392189026,0.9920862913131714,0.3327415883541107,0.5189601182937622,0.5498374104499817,0.5,0.46748682856559753,1.6905105113983154,311352.0,1000.0,1755120060.1326425,200.0,4.5691453082619125e-09,181600.0,,,,,,,,,,,,,
7245191749.48935-ac1c2c0a-b7a5,brainiac_scratch_multi_t1n_t1c_t2w_t2f_2025-08-10_06-53-27,finished,2025-08-10T06:53:50Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7245191749.48935-ac1c2c0a-b7a5,,ea794052-1bc6-42e8-941f-17d599e67b67,t-jiachentu,False,0,Classification,200.0,False,brainiac,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,6e-05,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,60.0,False,False,gli_vs_men,False,power,3.0,False,1.0,True,epochwise,cls_token,,True,0.0,0.5273923873901367,0.6036542654037476,0.5,0.4676007032394409,0.5218386650085449,0.992649793624878,0.9976921081542968,0.9614254236221312,0.9707473516464232,0.3475387990474701,0.5095154047012329,0.471194863319397,0.5087380409240723,0.4656084477901459,0.8562922477722168,309022.0,1000.0,1755117846.222231,200.0,4.5691453082619125e-09,181600.0,,,,,,,,,,,,,
7245191079.79951-9d1e918f-0c1d,brainmvp_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-03-30,finished,2025-08-10T07:03:51Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7245191079.79951-9d1e918f-0c1d,,1d2de879-a279-4b72-a549-dd1ce52ed7ea,t-jiachentu,False,0,Classification,200.0,False,brainmvp,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,6e-05,4.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,60.0,False,False,gli_vs_men,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,True,0.0,0.7718626260757446,0.8968518972396851,0.8387994766235352,0.7126703262329102,0.587031364440918,0.9941996932029724,0.9983924627304076,0.958922266960144,0.9607473611831664,0.3434024751186371,0.7474747896194458,0.8942288160324097,0.8317415118217468,0.756548285484314,0.5265432596206665,68566.0,1000.0,1754877993.5743277,200.0,4.5691453082619125e-09,45400.0,,,,,,,,,,,,,
7245190641.00134-bed66a64-39f8,dinov2_frozen_multi_t1n_t1c_t2w_t2f_2025-08-10_07-06-34,crashed,2025-08-10T07:06:52Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7245190641.00134-bed66a64-39f8,,b3cbf1e5-310b-46e9-aac0-dfa4e1e94d72,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245190565.99883-1bbc810a-9df6,dinov2_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-11-56,failed,2025-08-10T07:12:16Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7245190565.99883-1bbc810a-9df6,,418b26c6-8738-43a5-9f46-46b9d1649bcb,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,
7245189842.26175-984a04bb-4cb5,mri_core_frozen_multi_t1n_t1c_t2w_t2f_2025-08-10_07-20-46,crashed,2025-08-10T07:21:28Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7245189842.26175-984a04bb-4cb5,,c05f3a47-b9ee-45b8-9165-755edf76a0cf,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245189763.89467-5b14c49e-d1bb,mri_core_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-26-53,failed,2025-08-10T07:27:40Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7245189763.89467-5b14c49e-d1bb,,62086535-4fb8-47aa-b137-9c4d3fa57f6d,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,,
7245189090.58969-be28327b-3876,resenc_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-30-32,crashed,2025-08-10T07:31:05Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7245189090.58969-be28327b-3876,,18ede80e-136b-40d8-b93f-917065b88dee,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245188702.77040-3609afe6-c5d5,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-43-51,crashed,2025-08-10T07:44:28Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7245188702.77040-3609afe6-c5d5,,6e59ae17-a50b-4dea-8d56-b55c07539880,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245188220.14445-ffa44b44-8e39,resenc_time_conditioned_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-45-30,finished,2025-08-10T07:46:56Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7245188220.14445-ffa44b44-8e39,,5c80d167-6d5a-4af1-aa40-3e26c768bcaa,t-jiachentu,False,0,Classification,180.0,False,ResEncTimeConditioned,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,7e-05,4.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,60.0,False,False,gli_vs_men,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.5,0.908246636390686,0.9449337124824524,0.8833383917808533,0.832329511642456,0.4212402403354645,0.9855360388755798,0.990326166152954,0.9580898284912108,0.9730771780014038,0.3417213559150696,0.9219379425048828,0.9549888372421264,0.8749746084213257,0.8706591129302979,0.3918134868144989,64113.0,900.0,1754876126.1412654,180.0,6.746583127731344e-09,40860.0,256.0,0.5,False,64.0,,,,,,,,,
