run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_classification_head_dropout,metric__runtime,metric__step,metric__timestamp,metric_lr-AdamW,metric_trainer/global_step,config_test_mode,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric_epoch
s3enx0vl,2025-06-22_05-52-59,finished,2025-06-22T05:53:04Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification/runs/s3enx0vl,,cf79b3fc-2ec7-4aa0-80c4-217d700da407,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,ddp_find_unused_parameters_true,True,/home/t-jiachentu/repos/benchmarking/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,1,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,32,epochwise,0.2,204.125836561,6.0,1750571788.3190644,9.523809523809525e-06,4.0,False,0.5361472964286804,0.5409548282623291,0.5060710906982422,0.24591416120529175,0.6949594020843506,0.5,0.0,0.5,1.0,0.6904980540275574,0.0
q1p4itic,2025-06-22_05-59-42,finished,2025-06-22T05:59:47Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification/runs/q1p4itic,,c7517035-056a-47c3-8235-b57e246f8d00,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,True,/home/t-jiachentu/repos/benchmarking/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,24,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,32,epochwise,0.2,,,,,,False,,,,,,,,,,,
geq9c7o5,2025-06-22_06-00-22,finished,2025-06-22T06:00:26Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification/runs/geq9c7o5,,26621f3d-36a5-40f0-b1fa-eea1dae65c1b,t-jiachentu,0.0001,False,0,Classification,5,False,ResEncoder_Classifier,5,False,1,multiclass,False,auto,True,/home/t-jiachentu/repos/benchmarking/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,5,True,True,0,gpu,0.2,2,24,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,2,epochwise,0.2,34.306807945,10.0,1750572060.3786824,9.523809523809525e-06,3.0,True,0.7791666984558105,0.875,0.5,0.1666666716337204,0.7200927734375,0.5,0.0,0.0,0.0,0.7311914563179016,1.0
toiptzma,2025-06-22_06-11-43,crashed,2025-06-22T06:11:48Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification/runs/toiptzma,,173755d9-d7d9-45b5-913b-da7542dbc2b6,t-jiachentu,0.0001,False,0,Classification,5,False,ResEncoder_Classifier,5,False,1,multiclass,False,auto,True,/home/t-jiachentu/repos/benchmarking/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,5,True,True,0,gpu,0.2,2,24,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,2,epochwise,0.2,13.934756619,4.0,1750572721.3770435,4.761904761904762e-06,1.0,True,,,,,,0.5,0.0,0.0,0.0,0.7165625095367432,0.0
etffrj9i,2025-06-22_06-12-58,finished,2025-06-22T06:13:09Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification/runs/etffrj9i,,5198f2e0-b38f-43f9-b4ff-2d2c53dbf86e,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,True,/home/t-jiachentu/repos/benchmarking/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,24,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,32,epochwise,0.2,882.450924781,60.0,1750573670.7470362,5.2380952380952384e-05,40.0,False,0.49817895889282227,0.4913173913955689,0.5,0.4414285719394684,0.6111916303634644,0.4961547255516052,0.478937715291977,0.5,0.4406779706478119,0.6099913120269775,9.0
t4u82gx7,2025-06-22_20-22-37,finished,2025-06-22T20:22:41Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification/runs/t4u82gx7,,3215beb1-1c14-4c47-908e-1266b0859c9c,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,True,/home/t-jiachentu/repos/benchmarking/SSL3D_classification/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,24,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,32,epochwise,0.2,1591.812528112,102.0,1750625353.143808,8.571428571428573e-05,68.0,False,0.5427987575531006,0.5636396408081055,0.5,0.4414285719394684,0.5953121185302734,0.4903627634048462,0.4423076808452606,0.5,0.4406779706478119,0.5959746241569519,16.0
whsp69hn,2025-06-22_20-49-40,finished,2025-06-22T20:49:48Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification/runs/whsp69hn,,0db16122-9600-4f4b-ac31-e04b08383528,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,True,/home/t-jiachentu/repos/benchmarking/SSL3D_classification/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,24,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,32,epochwise,0.2,34.684267306,0.0,1750625422.9177926,4.761904761904762e-06,0.0,False,,,,,,,,,,,
ozoavp27,2025-06-22_20-51-10,crashed,2025-06-22T20:51:13Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification/runs/ozoavp27,,c7467339-584c-4859-83c3-401e02ab722b,t-jiachentu,0.0001,False,0,Classification,5,False,ResEncoder_Classifier,5,False,1,multiclass,False,auto,True,,3,AdamW,16-mixed,CosineAnneal,20,4,False,5,False,True,0,gpu,0.2,2,24,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,2,epochwise,0.2,,,,,,True,,,,,,,,,,,
du0vb3dd,2025-06-22_20-51-44,finished,2025-06-22T20:51:50Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification/runs/du0vb3dd,,737e0f5d-0454-49a7-93a8-bb8270af8972,t-jiachentu,0.0001,False,0,Classification,5,False,ResEncoder_Classifier,5,False,1,multiclass,False,auto,True,,3,AdamW,16-mixed,CosineAnneal,20,4,False,5,False,True,0,gpu,0.2,2,24,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,2,epochwise,0.2,151.527866118,29.0,1750625661.2124856,2.3809523809523817e-05,9.0,True,0.5245040059089661,0.375,0.5,0.4444444477558136,0.6357666254043579,0.5,0.0,0.5,1.0,0.5470068454742432,4.0
id8uasky,2025-06-22_20-58-54,finished,2025-06-22T20:58:57Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification/runs/id8uasky,,f4b9b076-fee8-4a6e-bb09-5a342b4cf899,t-jiachentu,0.0001,False,0,Classification,5,False,ResEncoder_Classifier,5,False,1,multiclass,False,auto,True,,3,AdamW,16-mixed,CosineAnneal,20,4,False,5,False,True,0,gpu,0.2,2,24,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,2,epochwise,0.2,137.310683623,29.0,1750626074.54308,2.3809523809523817e-05,9.0,True,0.4925099015235901,0.25,0.5,0.4444444477558136,0.6631690263748169,0.5,0.0,0.5,1.0,0.6087499856948853,4.0
