run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_gradient_clip_val,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_token_aggregation_method,config_dinov2_model_name,config_slice_aggregation,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim
7245188118.56883-5625a5d4-761f,resenc_time_conditioned_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-47-08,finished,2025-08-10T07:49:02Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245188118.56883-5625a5d4-761f,,ccfaf160-5907-40a3-b829-efecda239f5c,t-jiachentu,False,0,Classification,180.0,False,ResEncTimeConditioned,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,2.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,7e-05,4.0,False,0.0,True,False,full,False,0.1,2.0,False,batchgenerators.get_training_transforms,1.0,60.0,False,False,dss_1year,False,power,3.0,False,2.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,False,0.5,0.75,0.75,0.5,0.4000000059604645,0.6456652283668518,1.0,1.0,1.0,1.0,0.2041004449129105,0.8187500238418579,0.75,0.625,0.625,0.8591315746307373,6930,900.0,1754819069.8154888,180.0,6.746583127731344e-09,720.0,,cls_token,,,,,,,,,,False,256.0,0.5,64.0
7245182280.04519-107464bc-4f7a,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_09-24-26,finished,2025-08-10T09:24:59Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245182280.04519-107464bc-4f7a,,4d445edf-2667-4771-99a6-8a7849c5a830,t-jiachentu,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,1.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,7e-05,4.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,1.0,30.0,False,False,dss_1year,False,power,3.0,False,2.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,False,0.2,1.0,1.0,0.5,0.4000000059604645,0.629915177822113,1.0,1.0,1.0,1.0,0.2839955985546112,1.0,1.0,0.75,0.7777777910232544,0.3955060541629791,6247,900.0,1754824146.4459257,180.0,6.746583127731344e-09,360.0,,,,,,,,,,,,,,,
7245182111.87597-7682c083-51d4,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_09-33-53,finished,2025-08-10T09:34:31Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245182111.87597-7682c083-51d4,,8fc53e56-7d13-44bd-a163-7a0d741a3efa,t-jiachentu,False,0,Classification,200.0,False,ResEncoder_Classifier,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,2.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,4.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,1.0,30.0,False,False,dss_1year,False,power,3.0,False,2.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,False,0.2,0.8187500238418579,0.75,0.5,0.25,0.6995043158531189,1.0,1.0,1.0,1.0,0.2684486210346222,0.6770833730697632,0.625,0.375,0.3333333432674408,0.8291129469871521,7199,1000.0,1754825671.1101072,200.0,3.8076210902182585e-09,400.0,,,,,,,,,,,,,,,
7245181698.37231-142e81b0-3943,resenc_time_conditioned_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_09-33-53,finished,2025-08-10T09:35:00Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245181698.37231-142e81b0-3943,,cc14da98-8a41-4e75-ae9e-b5e6a1d1ae8f,t-jiachentu,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,2.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,4.0,False,0.0,True,False,full,False,0.1,2.0,False,batchgenerators.get_training_transforms,1.0,30.0,False,False,dss_1year,False,power,3.0,False,2.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,False,0.5,0.6729166507720947,0.5,0.5,0.4000000059604645,0.6798751354217529,1.0,1.0,1.0,1.0,0.2060498744249344,0.550000011920929,0.375,0.375,0.3333333432674408,1.196377873420715,6540,1000.0,1754825041.4711936,200.0,3.8076210902182585e-09,800.0,,cls_token,,,,,,,,,,False,256.0,0.5,64.0
7245181910.09779-99a18340-e89a,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_09-36-59,finished,2025-08-10T09:37:26Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245181910.09779-99a18340-e89a,,eb3ff010-b83b-4d79-98c2-04eade0ebf05,t-jiachentu,False,0,Classification,180.0,False,ResEncoderMultiModal_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,4.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,7e-05,4.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,1.0,30.0,False,False,dss_1year,False,power,3.0,False,2.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,False,0.2,0.429166704416275,0.125,0.5,0.4000000059604645,0.6709372401237488,1.0,1.0,0.8999999761581421,0.9227052927017212,0.30455970764160156,0.6166666746139526,0.5,0.375,0.3333333432674408,0.8315339088439941,5248,900.0,1754823893.3017154,180.0,6.746583127731344e-09,360.0,,,,,,,,,,,,,,,
7245181537.65726-36b9d146-90e6,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_09-42-25,finished,2025-08-10T09:42:57Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245181537.65726-36b9d146-90e6,,75dbc823-5069-4d61-8784-60ff2eac3621,t-jiachentu,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,1.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,7e-05,4.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,1.0,30.0,False,False,dss_1year,False,power,3.0,False,2.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,False,0.2,1.0,1.0,0.75,0.7777777910232544,0.5565404891967773,1.0,1.0,1.0,1.0,0.29925525188446045,1.0,1.0,1.0,1.0,0.31667381525039673,6979,900.0,1754825955.8661714,180.0,6.746583127731344e-09,360.0,,,,,,,,,,,,,,,
7245181192.83012-08a62e42-95c4,resenc_MDAE_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_09-42-23,finished,2025-08-10T09:42:59Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245181192.83012-08a62e42-95c4,,1c66abf3-fc0f-42e6-bca4-7242209838c1,t-jiachentu,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,2.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,7e-05,4.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,1.0,30.0,False,False,dss_1year,False,power,3.0,False,2.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/EMDAE/Openmind/0711/Dataset005_OpenMind/BaseEMDAETrainer_RandomMask_BottleneckCorruption_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,False,0.2,0.5083333253860474,0.25,0.25,0.25,0.6971140503883362,1.0,1.0,0.9545454978942872,0.9307359457015992,0.2990688979625702,0.5083333253860474,0.25,0.375,0.3333333432674408,1.6315597295761108,5962,900.0,1754824940.503059,180.0,6.746583127731344e-09,360.0,,,,,,,,,,,,,,,
7245180239.40217-535aceb6-312c,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_10-04-15,finished,2025-08-10T10:04:39Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245180239.40217-535aceb6-312c,,630052c8-3623-4614-b42d-f5977b34da1c,t-jiachentu,False,0,Classification,180.0,False,ResEncoderMultiModal_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,4.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,7e-05,4.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,1.0,30.0,False,False,dss_1year,False,power,3.0,False,2.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,False,0.2,1.0,1.0,0.5,0.4000000059604645,0.7770963311195374,1.0,1.0,1.0,1.0,0.22566913068294525,0.53125,0.375,0.625,0.625,1.1660526990890503,6406,900.0,1754826683.925666,180.0,6.746583127731344e-09,360.0,,,,,,,,,,,,,,,
7245179536.92634-6ff6f432-ba30,resenc_SimCLR_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_10-10-07,finished,2025-08-10T10:10:42Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245179536.92634-6ff6f432-ba30,,913874db-16e5-42ab-acf7-1b8c875fc13f,t-jiachentu,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,2.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,7e-05,4.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,1.0,30.0,False,False,dss_1year,False,power,3.0,False,2.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL_ckpts/ResEncL-OpenMind-SimCLR/checkpoint_final.pth,False,0.2,0.6770833730697632,0.625,0.5,0.4000000059604645,0.6916024088859558,1.0,1.0,1.0,1.0,0.24065005779266355,0.6729166507720947,0.5,0.5,0.485714316368103,1.026469588279724,7511,900.0,1754828152.5825016,180.0,6.746583127731344e-09,360.0,,,,,,,,,,,,,,,
7245179164.42302-1f521d2b-161a,resenc_SwinUNETR_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_10-16-12,finished,2025-08-10T10:16:42Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245179164.42302-1f521d2b-161a,,ae462a23-58ed-4be9-92d2-e70f5f550789,t-jiachentu,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,2.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,7e-05,4.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,1.0,30.0,False,False,dss_1year,False,power,3.0,False,2.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL_ckpts/ResEncL-OpenMind-SwinUNETR/checkpoint_final.pth,False,0.2,1.0,1.0,0.5,0.4000000059604645,0.6194603443145752,1.0,1.0,1.0,1.0,0.20894894003868103,0.5083333253860474,0.25,0.375,0.3333333432674408,0.9897920489311218,6326,900.0,1754827329.3909063,180.0,6.746583127731344e-09,360.0,,,,,,,,,,,,,,,
