run_id,run_name,state,created_at,url,project,benchmark,modalities,metric_epoch,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,config_model,config_learning_rate,config_batch_size,config_epochs
7245378463.61504-8b9a2019-1dcf,dinov2_fb_pretrained_multi_t1_t1gd_t2_flair_2025-08-08_02-54-21,failed,2025-08-08T02:54:52Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7245378463.61504-8b9a2019-1dcf,july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair,upenn_gbm_gtr_status,t1_t1gd_t2_flair,,,,,,,,,,,,,,,,,
7245191407.93311-2893ecea-34e9,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_06-57-44,finished,2025-08-10T06:58:03Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7245191407.93311-2893ecea-34e9,july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair,upenn_gbm_gtr_status,t1_t1gd_t2_flair,200.0,0.5167770385742188,0.4997023940086365,0.5,0.3723404109477997,0.6160692572593689,0.6140642166137695,0.5,0.3727598488330841,0.5400511026382446,0.5314009785652161,0.5,0.3709677457809448,brainiac,6e-05,1.0,200.0
7245191230.20246-b1106ce7-8d26,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-08-10_07-00-53,finished,2025-08-10T07:01:15Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7245191230.20246-b1106ce7-8d26,july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair,upenn_gbm_gtr_status,t1_t1gd_t2_flair,200.0,0.4954568147659302,0.44776785373687744,0.5,0.3723404109477997,0.6056638956069946,0.6150460243225098,0.5,0.3727598488330841,0.5617045164108276,0.5495169162750244,0.5,0.3709677457809448,brainiac,6e-05,1.0,200.0
7245190851.44906-3649727c-2cfa,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-06-34,finished,2025-08-10T07:06:53Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7245190851.44906-3649727c-2cfa,july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair,upenn_gbm_gtr_status,t1_t1gd_t2_flair,200.0,0.5234494805335999,0.5345237851142883,0.5,0.3723404109477997,0.7804300785064697,0.7885292768478394,0.7084574699401855,0.7137777805328369,0.574348509311676,0.5597826242446899,0.5534420609474182,0.5207100510597229,brainmvp,6e-05,1.0,200.0
7245190236.93355-d77a716e-24f9,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-08-10_07-17-25,crashed,2025-08-10T07:17:43Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7245190236.93355-d77a716e-24f9,july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair,upenn_gbm_gtr_status,t1_t1gd_t2_flair,,,,,,,,,,,,,,,,,
7245190028.73160-21c626af-8e6e,dinov2_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-20-47,failed,2025-08-10T07:21:06Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7245190028.73160-21c626af-8e6e,july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair,upenn_gbm_gtr_status,t1_t1gd_t2_flair,,,,,,,,,,,,,,,,,
7245189427.30998-45390783-87e1,mri_core_frozen_multi_t1_t1gd_t2_flair_2025-08-10_07-25-29,crashed,2025-08-10T07:26:20Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7245189427.30998-45390783-87e1,july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair,upenn_gbm_gtr_status,t1_t1gd_t2_flair,,,,,,,,,,,,,,,,,
7245189244.86604-d898b6af-745f,mri_core_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-28-20,failed,2025-08-10T07:29:23Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7245189244.86604-d898b6af-745f,july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair,upenn_gbm_gtr_status,t1_t1gd_t2_flair,,,,,,,,,,,,,,,,,
7245188857.73933-8b29a33e-b688,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-41-03,finished,2025-08-10T07:41:40Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7245188857.73933-8b29a33e-b688,july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair,upenn_gbm_gtr_status,t1_t1gd_t2_flair,180.0,0.5642803907394409,0.5486607551574707,0.5,0.3723404109477997,0.6380271911621094,0.6851977109909058,0.63908451795578,0.6407593488693237,0.5110708475112915,0.5143418312072754,0.5018115639686584,0.487142026424408,ResEncoder_Classifier,7e-05,1.0,180.0
7245188373.18497-44ee758a-b8f3,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-42-37,finished,2025-08-10T07:43:12Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7245188373.18497-44ee758a-b8f3,july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair,upenn_gbm_gtr_status,t1_t1gd_t2_flair,180.0,0.5280988812446594,0.5104166269302368,0.5104166865348816,0.39473971724510193,0.7415421009063721,0.7548584938049316,0.6586538553237915,0.6614876985549927,0.6044942140579224,0.6114130020141602,0.5987318754196167,0.5993150472640991,ResEncoder_Classifier,7e-05,2.0,180.0
7245187991.40429-f8646a8f-339c,resenc_time_conditioned_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-55-18,finished,2025-08-10T07:56:09Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7245187991.40429-f8646a8f-339c,july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair,upenn_gbm_gtr_status,t1_t1gd_t2_flair,180.0,0.5479005575180054,0.5617559552192688,0.5,0.3723404109477997,0.5903702974319458,0.6002166271209717,0.5254265666007996,0.44744694232940674,0.5528860092163086,0.5587258338928223,0.4909420311450958,0.4220823347568512,ResEncTimeConditioned,7e-05,2.0,180.0
