run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_time_dim,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_rate,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_freeze_encoder,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_learned_sinusoidal_dim,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_pretrained_encoder_path,config_token_aggregation_method,config_classification_head_dropout
3f17qcqu,resenc_time_conditioned_tunable_2025-07-28_19-57-51,failed,2025-07-28T19:58:05Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_2_single_t2/runs/3f17qcqu,,c88d4b4e-4c79-4eab-84f2-844b19e3082f,t-jiachentu,False,0,Classification,2,False,ResEncTimeConditioned,2,False,1,multiclass,False,auto,256,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,2,True,True,0,gpu,0.2,2,16,val,False,0.5,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,False,1,False,0,True,False,full,0.2,1,False,batchgenerators.get_training_transforms,1,False,False,2,True,power,3,False,64,4,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,cls_token,0.5
ixu6n6bn,resenc_time_conditioned_tunable_2025-07-28_19-59-14,failed,2025-07-28T19:59:26Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_2_single_t2/runs/ixu6n6bn,,599be903-7dbd-441d-a667-0f79676242b8,t-jiachentu,False,0,Classification,1,False,ResEncTimeConditioned,1,False,1,multiclass,False,auto,256,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,1,True,True,0,gpu,0.2,2,16,val,False,0.5,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,False,1,False,0,True,False,full,0.2,1,False,batchgenerators.get_training_transforms,1,False,False,2,True,power,3,False,64,4,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,cls_token,0.5
