run_id,run_name,state,created_at,url,project,metric_epoch,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,config_model,config_learning_rate,config_batch_size,config_epochs,benchmark,modalities,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1
7244958196.45532-d84d8d6e-116f,brainmvp_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-13_00-29-49,finished,2025-08-13T00:30:10Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7244958196.45532-d84d8d6e-116f,july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,200.0,0.996510684490204,0.9989196062088012,0.972481608390808,0.9777086973190308,0.8181631565093994,0.9394640922546388,0.8195006847381592,0.7875304818153381,brainmvp,5e-05,1.0,200.0,brats23_gli_vs_met,t1n_t1c_t2w_t2f,0.5413631200790405,0.5626872777938843,0.5213482975959778,0.5182782411575317
7244955507.71888-3f989be9-1d1e,resenc_time_conditioned_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-13_00-29-34,finished,2025-08-13T00:30:22Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7244955507.71888-3f989be9-1d1e,july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,200.0,0.99586820602417,0.9953413605690002,0.9822801947593688,0.9876159429550172,0.9111433625221252,0.9624541997909546,0.8382976651191711,0.8382976651191711,ResEncTimeConditioned,5e-05,4.0,200.0,brats23_gli_vs_met,t1n_t1c_t2w_t2f,0.544965386390686,0.5539793968200684,0.5387640595436096,0.5427659749984741
7244955483.54456-6ee11469-e3e1,resenc_VoCo_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-13_00-30-25,finished,2025-08-13T00:30:53Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7244955483.54456-6ee11469-e3e1,july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,200.0,1.0,1.0,1.0,1.0,0.9300556182861328,0.963659167289734,0.8767591714859009,0.8647576570510864,ResEncoder_Classifier,5e-05,4.0,200.0,brats23_gli_vs_met,t1n_t1c_t2w_t2f,0.6185330152511597,0.7260299921035767,0.5106273293495178,0.48884448409080505
7244955361.86447-8345a9db-bd42,resenc_MG_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-13_00-32-21,finished,2025-08-13T00:32:50Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7244955361.86447-8345a9db-bd42,july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,200.0,1.0,1.0,1.0,1.0,0.8871486186981201,0.9644784927368164,0.8873625993728638,0.8385525941848755,ResEncoder_Classifier,5e-05,4.0,200.0,brats23_gli_vs_met,t1n_t1c_t2w_t2f,0.5779727697372437,0.5278558135032654,0.5868914127349854,0.6105708479881287
7244955582.18751-96bca04c-9f80,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-13_01-19-18,finished,2025-08-13T01:19:49Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7244955582.18751-96bca04c-9f80,july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,200.0,0.9999629855155944,0.9999892711639404,0.9993742108345032,0.9975593090057372,0.900248646736145,0.9233179092407228,0.8276942372322083,0.8675928115844727,ResEncoder_Classifier,5e-05,4.0,200.0,brats23_gli_vs_met,t1n_t1c_t2w_t2f,0.8983311653137207,0.94475656747818,0.6981273293495178,0.7582601308822632
7244960272.64944-c78f1b56-456c,mri_core_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-13_19-53-32,crashed,2025-08-13T19:13:16Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7244960272.64944-c78f1b56-456c,july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,73.0,0.7685529589653015,0.8802081346511841,0.6694746613502502,0.7125407457351685,0.8737443685531616,0.949103593826294,0.5,0.4658493995666504,MRICore,5e-05,1.0,200.0,brats23_gli_vs_met,t1n_t1c_t2w_t2f,,,,
7244960361.39904-321baa4c-30f4,dinov2_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-13_21-59-04,crashed,2025-08-13T22:02:12Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7244960361.39904-321baa4c-30f4,july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,58.0,0.762878954410553,0.8782131671905518,0.6218403577804565,0.6569849252700806,0.6138518452644348,0.7748698592185974,0.5393291115760803,0.5436838269233704,dinov2,5e-05,1.0,50.0,brats23_gli_vs_met,t1n_t1c_t2w_t2f,,,,
7244836836.78991-0f8ea353-9912,resenc_SwinUNETR_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-14_09-24-59,running,2025-08-14T09:25:29Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7244836836.78991-0f8ea353-9912,july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,82.0,0.9931526184082032,0.9931858777999878,0.985927939414978,0.9877068996429444,0.909443199634552,0.9508386254310608,0.8395025730133057,0.7906657457351685,ResEncoder_Classifier,0.0001,2.0,100.0,brats23_gli_vs_met,t1n_t1c_t2w_t2f,,,,
7244837076.80758-be8d7aa6-44f7,resenc_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-14_09-30-17,finished,2025-08-14T09:31:25Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7244837076.80758-be8d7aa6-44f7,july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,100.0,0.9970318078994752,0.998138666152954,0.98655366897583,0.9901293516159058,0.9444223046302797,0.9729130268096924,0.8733372092247009,0.8859813213348389,ResEncoder_Classifier,0.0001,2.0,100.0,brats23_gli_vs_met,t1n_t1c_t2w_t2f,0.630277693271637,0.6959737539291382,0.5875468254089355,0.5969012379646301
7244835131.56977-b7df11dc-5b1d,resenc_VoCo_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-14_09-55-17,running,2025-08-14T09:55:49Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7244835131.56977-b7df11dc-5b1d,july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,85.0,0.9955778121948242,0.9984917044639589,0.9645603895187378,0.9749529361724854,0.812283456325531,0.915172517299652,0.8425872325897217,0.756321907043457,ResEncoder_Classifier,0.0001,2.0,100.0,brats23_gli_vs_met,t1n_t1c_t2w_t2f,,,,
7244835322.09451-c16f1d5d-edae,resenc_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-14_10-08-33,running,2025-08-14T10:09:05Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7244835322.09451-c16f1d5d-edae,july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,64.0,0.9878860116004944,0.9896451234817504,0.9560133814811708,0.9697153568267822,0.926937460899353,0.9623095989227296,0.8964237570762634,0.8365082740783691,ResEncoder_Classifier,0.0001,2.0,100.0,brats23_gli_vs_met,t1n_t1c_t2w_t2f,,,,
7244833271.51283-9404be02-848f,resenc_SimCLR_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-14_10-21-24,running,2025-08-14T10:21:55Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7244833271.51283-9404be02-848f,july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,64.0,0.981153130531311,0.98447847366333,0.9541360139846802,0.9625701904296876,0.914840281009674,0.9532485008239746,0.8613842725753784,0.7977331876754761,ResEncoder_Classifier,0.0001,2.0,100.0,brats23_gli_vs_met,t1n_t1c_t2w_t2f,,,,
7244833218.03381-94549495-dcc6,resenc_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-14_10-22-12,running,2025-08-14T10:22:49Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7244833218.03381-94549495-dcc6,july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,70.0,0.976603627204895,0.9850667715072632,0.9248473048210144,0.9459710121154784,0.9013527035713196,0.9216309785842896,0.8564199209213257,0.8343291878700256,ResEncoder_Classifier,0.0001,2.0,100.0,brats23_gli_vs_met,t1n_t1c_t2w_t2f,,,,
