run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_time_dim,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_rate,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_freeze_encoder,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_learned_sinusoidal_dim,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_pretrained_encoder_path,config_token_aggregation_method,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_slice_aggregation
7246260669.23237-9c16b5d4-90e3,resenc_time_conditioned_pretrained_multi_flair_t1_t1ce_t2_2025-07-28_21-54-23,finished,2025-07-28T21:54:49Z,https://microsoft-research.wandb.io/t-jiachentu/stratified-brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246260669.23237-9c16b5d4-90e3,,343a85f4-854f-40cf-828c-2c51b8c45c35,t-jiachentu,False,0,Classification,300,False,ResEncTimeConditioned,300,False,1,multiclass,False,auto,256.0,False,3,AdamW,16-mixed,CosineAnneal,20,2,False,300,True,True,0,gpu,0.2,2,16,val,False,0.5,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,False,4,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,False,power,3,False,64.0,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,cls_token,0.5,0.5917273759841919,0.5492063760757446,0.550000011920929,0.5515734553337097,0.7719182372093201,1.0,1.0,1.0,1.0,0.32792606949806213,0.5596684217453003,0.523809552192688,0.5666666626930237,0.4554699659347534,1.15386700630188,20019,1500,1753759706.9976804,300.0,3.1471622649714703e-10,12900,,,,,,,,
7246259742.09233-da840956-65ef,mri_core_pretrained_multi_flair_t1_t1ce_t2_2025-07-28_22-09-07,failed,2025-07-28T22:09:31Z,https://microsoft-research.wandb.io/t-jiachentu/stratified-brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246259742.09233-da840956-65ef,,58deb859-0734-4c82-a8e5-a9d9c7d00df6,t-jiachentu,False,0,Classification,300,False,MRICore,300,False,1,multiclass,False,auto,,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,False,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,False,4,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,False,power,3,False,,1,False,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,mean,0.5,,,,,,,,,,,,,,,,49,0,1753740597.250187,,4.761904761904763e-07,0,12.0,768.0,4.0,12.0,512.0,224.0,16.0,mean
7246257920.43990-d7b8e374-b964,mri_core_pretrained_multi_flair_t1_t1ce_t2_2025-07-28_23-10-56,failed,2025-07-28T23:11:49Z,https://microsoft-research.wandb.io/t-jiachentu/stratified-brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246257920.43990-d7b8e374-b964,,99526dc9-3b6a-43bb-bb82-f79b94f970c2,t-jiachentu,False,0,Classification,300,False,MRICore,300,False,1,multiclass,False,auto,,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,False,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,False,4,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,False,power,3,False,,1,False,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,mean,0.5,,,,,,,,,,,,,,,,95,0,1753744384.8178787,,4.761904761904763e-07,0,12.0,768.0,4.0,12.0,512.0,224.0,16.0,mean
7246257915.18836-349db604-37e3,mri_core_frozen_multi_flair_t1_t1ce_t2_2025-07-28_23-44-53,finished,2025-07-28T23:45:38Z,https://microsoft-research.wandb.io/t-jiachentu/stratified-brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246257915.18836-349db604-37e3,,bb7c8fdb-dfda-44ac-bca5-0712b411c0b7,t-jiachentu,False,0,Classification,300,False,MRICore,300,False,1,multiclass,False,auto,,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,False,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,True,4,False,0,True,False,full,,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,False,power,3,False,,1,False,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,mean,0.5,0.5614930391311646,0.5428571701049805,0.5,0.42424243688583374,0.619469165802002,0.5542524456977844,0.5683421492576599,0.5,0.42424243688583374,0.6177862882614136,0.6363146305084229,0.6365079283714294,0.5,0.42424243688583374,0.6194246411323547,23673,1500,1753770011.2043748,300.0,3.1471622649714703e-10,12900,12.0,768.0,4.0,12.0,512.0,224.0,16.0,mean
