run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_classification_head_dropout,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_use_brainiac_preprocessing
7246994037.08092-b8288ff5-f784,brainmvp_pretrained_2025-07-20_10-11-40,finished,2025-07-20T10:12:01Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation_single_t1wce/runs/7246994037.08092-b8288ff5-f784,,1d590442-f8dd-4c63-8ff1-389b8a15acaf,t-jiachentu,0.0001,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1,False,False,mgmt_methylation,True,False,1,epochwise,cls_token,0,0.5880972146987915,0.5910863280296326,0.546729564666748,0.5461066961288452,0.6819924712181091,0.5328645706176758,0.4929955303668976,0.4740685522556305,0.4737859964370727,0.7021505832672119,25425,1799,1753031748.3801675,299,3.147162264971471e-09,35099,
7246991222.61287-e3e3a9cb-1b15,brainmvp_pretrained_2025-07-20_11-05-24,finished,2025-07-20T11:05:42Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation_single_t1wce/runs/7246991222.61287-e3e3a9cb-1b15,,88c81b1a-84d5-4df2-b231-cc13ae634689,t-jiachentu,0.0001,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1,False,False,mgmt_methylation,True,False,1,epochwise,cls_token,0,0.6351348161697388,0.6453021764755249,0.5804363489151001,0.5804712772369385,0.6711089611053467,0.4903159439563751,0.4518628716468811,0.44113263487815857,0.41360294818878174,0.8135719299316406,25503,1799,1753035046.2809658,299,3.147162264971471e-09,35099,
7246860363.05594-f122d3df-5f36,brainiac_pretrained_t1wce_2025-07-21_23-31-30,finished,2025-07-21T23:32:05Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation_single_t1wce/runs/7246860363.05594-f122d3df-5f36,,cc9183c2-83cf-4d3e-be4f-d44b2c8df786,t-jiachentu,,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,10,False,False,mgmt_methylation,True,False,1,epochwise,cls_token,0,0.5327160954475403,0.5328789949417114,0.515174925327301,0.49677950143814087,0.6918292045593262,0.5060725808143616,0.4974664449691773,0.5487332344055176,0.5483677983283997,0.7085573077201843,12483,599,1753153207.044474,99,1.927409398192747e-08,11699,True
