run_id,run_name,project,modality,model,learning_rate,batch_size,epochs,epoch,Test_Balanced_Accuracy,Test_F1,Test_AUROC,Test_AP,Val_Balanced_Accuracy,Val_F1,Val_AUROC,Val_AP,wandb_notes
7245917658.33209-4dc323f1-6b98,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-08-01_21-17-37,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncoder_Classifier,6e-05,4.0,200.0,200.0,0.7443768978118896,0.7530844211578369,0.8416413068771362,0.8201227784156799,0.8188449740409851,0.8261787295341492,0.9106383323669434,0.9031864404678344,
7245692961.76148-96f0a797-8790,resenc_VF_pretrained_t2_2025-08-04_11-59-01,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncoder_Classifier,8e-05,4.0,200.0,200.0,0.7290273904800415,0.7008547186851501,0.8407294750213623,0.8468768000602722,0.8436170220375061,0.847152829170227,0.9243161678314208,0.9193183779716492,
7245318189.46152-d9b8ec24-4e05,resenc_MDAE_pretrained_t2_2025-08-08_19-51-02,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncoder_Classifier,6e-05,4.0,200.0,200.0,0.725227952003479,0.6822752356529236,0.8402736186981201,0.8357075452804565,0.7691489458084106,0.7771428823471069,0.849088191986084,0.842026948928833,
7245974669.81089-b7231a90-2c9a,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-08-01_06-03-10,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncoder_Classifier,2e-05,1.0,200.0,200.0,0.7367781400680542,0.7350543737411499,0.8398176431655884,0.8345378637313843,0.8223403692245483,0.8277411460876465,0.908358633518219,0.9095850586891174,
7245319812.37658-136e2ff5-732c,resenc_MDAE_pretrained_t2_2025-08-08_22-14-01,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncoder_Classifier,6e-05,4.0,200.0,200.0,0.7504559755325317,0.7263157963752747,0.8389058113098145,0.8299806714057922,0.7550151944160461,0.7639796733856201,0.8699088096618652,0.8670821785926819,
7245462719.96050-48dc106a-fce1,eva_mg_pretrained_t1_2025-08-07_03-34-54,july_stratified_upenn_gbm_gender_single_t1,T1,Eva_MAE,0.0001,2.0,200.0,200.0,0.7124620079994202,0.7193316221237183,0.8384498357772827,0.8450733423233032,0.8224923610687256,0.8328571319580078,0.8718844652175903,0.8802403211593628,
7245738885.36502-104fe01a-9989,resenc_pretrained_t2_2025-08-03_22-56-25,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncoder_Classifier,8e-05,1.0,200.0,200.0,0.7580547332763672,0.7542016506195068,0.8361701965332031,0.8432414531707764,0.7761397957801819,0.7814445495605469,0.8811550140380859,0.8840527534484863,
7245977297.09131-9a644b5d-8336,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_04-41-29,july_stratified_upenn_gbm_gender_single_t1,T1,ResEncoder_Classifier,2e-05,4.0,200.0,200.0,0.6770516633987427,0.6790123581886292,0.8361701965332031,0.8396273255348206,0.8756839036941528,0.882138729095459,0.921884536743164,0.9212491512298584,
7245968909.33718-66acb629-8082,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_08-14-15,july_stratified_upenn_gbm_gender_single_t1,T1,ResEncoder_Classifier,0.0001,4.0,200.0,200.0,0.6311550140380859,0.6119586825370789,0.8352583646774292,0.8358891010284424,0.8720364570617676,0.8746172189712524,0.941641330718994,0.9456505179405212,
7245917684.44370-c4b3cada-e68f,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_21-10-32,july_stratified_upenn_gbm_gender_single_t1,T1,ResEncoder_Classifier,6e-05,4.0,200.0,200.0,0.7367781400680542,0.7350543737411499,0.8320668935775757,0.8342487812042236,0.8720364570617676,0.8746172189712524,0.9197568297386168,0.9215593338012696,
7245875114.63720-d36e94fe-45ee,resenc_time_conditioned_pretrained_t2_2025-08-02_08-59-37,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncTimeConditioned,8e-05,4.0,200.0,200.0,0.715349555015564,0.7111111283302307,0.8319149017333984,0.8311678171157837,0.8151975870132446,0.8194444179534912,0.8981763124465942,0.901358425617218,
7245976494.86219-96707b7f-5bcd,resenc_time_conditioned_pretrained_t1_2025-08-01_06-12-25,july_stratified_upenn_gbm_gender_single_t1,T1,ResEncTimeConditioned,2e-05,4.0,200.0,200.0,0.7335866093635559,0.7400000095367432,0.8290273547172546,0.8179908394813538,0.8828267455101013,0.8907222747802734,0.9334346652030944,0.935334086418152,
7245970526.46012-3471897a-98c0,resenc_time_conditioned_pretrained_t2_2025-08-01_06-34-14,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncTimeConditioned,0.0001,4.0,200.0,200.0,0.725835919380188,0.7149502038955688,0.8285714387893677,0.8310827016830444,0.7620060443878174,0.7690485715866089,0.8364741802215576,0.8298125863075256,
7245874202.56574-e25bd284-dc7d,resenc_pretrained_t2_2025-08-02_09-15-05,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncoder_Classifier,0.0001,4.0,200.0,200.0,0.7651975154876709,0.7622845768928528,0.8261398077011108,0.8227415084838867,0.7548632025718689,0.760999321937561,0.8215805292129517,0.8055167198181152,
7245883660.75761-52f62adc-8005,resenc_time_conditioned_pretrained_t2_2025-08-02_09-43-44,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncTimeConditioned,6e-05,4.0,200.0,200.0,0.7513678073883057,0.7585713863372803,0.8249239921569824,0.8188491463661194,0.7547112703323364,0.7572427988052368,0.8287234306335449,0.8070314526557922,
7245875831.10916-faf44471-c47b,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-08-02_10-17-22,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncoder_Classifier,0.0001,4.0,200.0,200.0,0.7724924087524414,0.7752248048782349,0.8249239921569824,0.8311439752578735,0.8579027652740479,0.8640061616897583,0.9039514064788818,0.9074939489364624,
7245875858.71344-e022bf1b-32fc,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-02_10-58-59,july_stratified_upenn_gbm_gender_single_t1,T1,ResEncoder_Classifier,0.0001,4.0,200.0,200.0,0.6772036552429199,0.6758423447608948,0.8215805292129517,0.8223727941513062,0.8934650421142578,0.9002712368965149,0.9465045928955078,0.9475679993629456,
7245606483.35666-9ed97ed9-a04b,resenc_time_conditioned_pretrained_t2_2025-08-05_11-41-51,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncTimeConditioned,3e-05,4.0,200.0,200.0,0.7507598996162415,0.740384578704834,0.8203647136688232,0.8169623613357544,0.7831306457519531,0.7850581407546997,0.8741641044616699,0.8604873418807983,
7245819971.09441-c85b27af-3af3,resenc_time_conditioned_pretrained_t2_2025-08-03_00-19-14,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncTimeConditioned,8e-05,4.0,200.0,200.0,0.743617057800293,0.7322258949279785,0.8200607299804688,0.8101567029953003,0.7480243444442749,0.7580444812774658,0.8389057517051697,0.8455724120140076,
7245826300.30623-e8159eca-eee7,resenc_time_conditioned_pretrained_t2_2025-08-02_22-33-44,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncTimeConditioned,6e-05,4.0,200.0,200.0,0.7337386012077332,0.7420171499252319,0.8179331421852112,0.8092846870422363,0.7509118318557739,0.7461279630661011,0.8343465328216553,0.827239990234375,
7245916818.95827-22916a19-bdb1,resenc_time_conditioned_pretrained_t2_2025-08-01_21-32-28,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncTimeConditioned,6e-05,4.0,200.0,200.0,0.7334346771240234,0.7370786666870117,0.817325234413147,0.8103311657905579,0.8188449740409851,0.8261787295341492,0.8814589977264404,0.8740108013153076,
7245918493.99631-57d0b4fc-9874,resenc_pretrained_t2_2025-08-01_21-03-54,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncoder_Classifier,6e-05,1.0,200.0,200.0,0.7334346771240234,0.7370786666870117,0.8170212507247925,0.8181143999099731,0.8188449740409851,0.8261787295341492,0.8954406976699829,0.8879072666168213,
7245461443.01914-c419f08c-b8b3,eva_voco_pretrained_t2_2025-08-07_03-57-21,july_stratified_upenn_gbm_gender_single_t2,T2,Eva_MAE,0.0001,2.0,200.0,200.0,0.7472644448280334,0.739304780960083,0.816413402557373,0.8079333305358887,0.7759878635406494,0.7769389152526855,0.8071428537368774,0.7627168893814087,
7245973861.59154-b2a9c7d2-0efd,resenc_time_conditioned_pretrained_t1_2025-08-01_05-37-25,july_stratified_upenn_gbm_gender_single_t1,T1,ResEncTimeConditioned,2e-05,1.0,200.0,200.0,0.7186930179595947,0.7068101167678833,0.816413402557373,0.8224220275878906,0.8509118556976318,0.8614291548728943,0.914893627166748,0.9197425246238708,
7245608173.82808-710d2a4f-3901,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-05_11-17-03,july_stratified_upenn_gbm_gender_single_t1,T1,ResEncoder_Classifier,3e-05,4.0,200.0,200.0,0.7231003046035767,0.7307692766189575,0.8142856955528259,0.8129364848136902,0.8579027652740479,0.8640061616897583,0.941641330718994,0.945823848247528,
7245607335.54994-4fc72c03-ed7d,resenc_multimodal_mm_mdae_pretrained_pretrained_t1_2025-08-05_11-30-55,july_stratified_upenn_gbm_gender_single_t1,T1,ResEncoderMultiModal_Classifier,3e-05,4.0,200.0,200.0,0.7231003046035767,0.7307692766189575,0.8142856955528259,0.8129364848136902,0.8579027652740479,0.8640061616897583,0.941641330718994,0.945823848247528,
7245828846.64867-26f4d259-02f7,resenc_time_conditioned_pretrained_t1_2025-08-02_21-51-07,july_stratified_upenn_gbm_gender_single_t1,T1,ResEncTimeConditioned,0.0001,4.0,200.0,200.0,0.6946808099746704,0.6999751329421997,0.8139817714691162,0.8106091022491455,0.8401216268539429,0.8458737134933472,0.9106383323669434,0.9102354645729064,
7245968882.30461-90e206bb-79cb,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-08-01_08-07-11,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncoder_Classifier,0.0001,4.0,200.0,200.0,0.6803951263427734,0.684687614440918,0.8133738040924072,0.7947289943695068,0.7796352505683899,0.7833333015441895,0.8525835275650024,0.8646253347396851,
7245695333.90736-71e1320a-daee,resenc_SimCLR_pretrained_t1_2025-08-04_11-14-07,july_stratified_upenn_gbm_gender_single_t1,T1,ResEncoder_Classifier,8e-05,4.0,200.0,200.0,0.7013677358627319,0.7032967209815979,0.8124619722366333,0.8145675659179688,0.8683890700340271,0.8670958280563354,0.8965045809745789,0.8865681886672974,
7245462702.92041-111497c5-2b62,eva_vf_pretrained_t2_2025-08-07_15-23-34,july_stratified_upenn_gbm_gender_single_t2,T2,Eva_MAE,0.0001,2.0,200.0,200.0,0.6699088215827942,0.6714881658554077,0.8117021322250366,0.8134052157402039,0.7513678073883057,0.7585713863372803,0.8548632264137268,0.8300924301147461,
7245465251.00142-1dcaa59d-4834,eva_simmim_pretrained_t2_2025-08-07_02-51-43,july_stratified_upenn_gbm_gender_single_t2,T2,Eva_MAE,0.0001,2.0,200.0,200.0,0.5,0.3743315637111664,0.8095744848251343,0.810867190361023,0.7832826375961304,0.789584755897522,0.8343465328216553,0.8279722332954407,
