run_id,run_name,state,created_at,url,project,project_variant,method_extracted,benchmark,modalities,metric_Test_AUROC,metric_Test_AP,metric_Test_F1,metric_Test_Balanced_Accuracy,metric_epoch,metric_Val_AUROC,metric_Val_AP,metric_Val_F1,metric_Val_Balanced_Accuracy,metric_Train_AP,metric_Train_AUROC,metric_Train_Balanced_Accuracy,metric_Train_F1,config_model,config_learning_rate,config_batch_size,config_epochs
7245191486.96302-e1a4faee-adfe,brainiac_scratch_multi_t1_t1c_t2_flair_swi_asl_2025-08-10_06-54-17,failed,2025-08-10T06:54:37Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7245191486.96302-e1a4faee-adfe,july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl,july,brainiac_scratch,ucsf_pdgm_idh,t1_t1c_t2_flair_swi_asl_adc_dwi,,,,,,,,,,,,,,,,,
7245191511.77590-00122295-fc18,brainiac_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-10_06-56-40,failed,2025-08-10T06:57:01Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7245191511.77590-00122295-fc18,july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl,july,brainiac_pretrained,ucsf_pdgm_idh,t1_t1c_t2_flair_swi_asl_adc_dwi,,,,,,,,,,,,,,,,,
7245190927.26383-d7b15861-6ed8,brainmvp_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-10_07-02-29,finished,2025-08-10T07:02:51Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7245190927.26383-d7b15861-6ed8,july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl,july,brainmvp_pretrained,ucsf_pdgm_idh,t1_t1c_t2_flair_swi_asl_adc_dwi,0.8021978139877319,0.7471223473548889,0.4406779706478119,0.5,200.0,0.7912801504135132,0.7451604604721069,0.5919351577758789,0.5822510719299316,0.996951162815094,0.998445451259613,0.9689443111419678,0.9689443111419678,brainmvp,6e-05,1.0,200.0
7245190338.96816-f122fb51-1528,dinov2_frozen_multi_t1_t1c_t2_flair_swi_asl_2025-08-10_07-15-31,crashed,2025-08-10T07:15:50Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7245190338.96816-f122fb51-1528,july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl,july,dinov2_frozen,ucsf_pdgm_idh,t1_t1c_t2_flair_swi_asl_adc_dwi,,,,,,,,,,,,,,,,,
7245190313.58361-7c6b24a9-00f8,dinov2_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-10_07-15-41,failed,2025-08-10T07:16:01Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7245190313.58361-7c6b24a9-00f8,july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl,july,dinov2_pretrained,ucsf_pdgm_idh,t1_t1c_t2_flair_swi_asl_adc_dwi,,,,,,,,,,,,,,,,,
7245189529.25111-c610493c-f6d1,mri_core_frozen_multi_t1_t1c_t2_flair_swi_asl_2025-08-10_07-29-40,crashed,2025-08-10T07:30:13Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7245189529.25111-c610493c-f6d1,july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl,july,mri_core_frozen,ucsf_pdgm_idh,t1_t1c_t2_flair_swi_asl_adc_dwi,,,,,,,,,,,,,,,,,
7245189504.09872-1b707f90-dab1,mri_core_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-10_07-30-57,failed,2025-08-10T07:32:21Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7245189504.09872-1b707f90-dab1,july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl,july,mri_core_pretrained,ucsf_pdgm_idh,t1_t1c_t2_flair_swi_asl_adc_dwi,,,,,,,,,,,,,,,,,
7245188935.69192-3d994349-4393,resenc_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-10_07-33-30,crashed,2025-08-10T07:34:06Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7245188935.69192-3d994349-4393,july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl,july,resenc_pretrained,ucsf_pdgm_idh,t1_t1c_t2_flair_swi_asl_adc_dwi,,,,,,,,,,,,,,,,,
7245188513.01459-411e1aa7-503c,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-10_07-41-44,crashed,2025-08-10T07:42:22Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7245188513.01459-411e1aa7-503c,july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl,july,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained,ucsf_pdgm_idh,t1_t1c_t2_flair_swi_asl_adc_dwi,,,,,,,,,,,,,,,,,
7245188067.29037-ec0c4fb0-1f98,resenc_time_conditioned_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-10_07-47-48,finished,2025-08-10T07:50:21Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7245188067.29037-ec0c4fb0-1f98,july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl,july,resenc_time_conditioned_pretrained,ucsf_pdgm_idh,t1_t1c_t2_flair_swi_asl_adc_dwi,0.7075701951980591,0.6158081889152527,0.4406779706478119,0.5,180.0,0.7631416320800781,0.7084562182426453,0.6318798065185547,0.6255411505699158,0.7918293476104736,0.8540488481521606,0.7221947908401489,0.7507292032241821,ResEncTimeConditioned,7e-05,2.0,180.0
