run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_gradient_clip_val,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_token_aggregation_method,config_dinov2_model_name,config_slice_aggregation,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim
7246004285.92053-6d75ab99-a214,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-07-31_21-07-48,finished,2025-07-31T21:08:57Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7246004285.92053-6d75ab99-a214,,e3f7489d-f083-4f2d-aac3-a46b94227309,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,4.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,1.0,10.0,False,False,pfi_1year,False,power,3.0,False,2.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,False,0.2,0.7014285922050476,0.7000000476837158,0.5,0.4166666567325592,0.6881426572799683,1.0,1.0,0.9583333730697632,0.9227052927017212,0.4784401059150696,0.7250000238418579,0.75,0.5,0.4444444477558136,0.566260814666748,4600,500.0,1754000735.631973,100.0,1.927409398192747e-08,200.0,,,,,,,,,,,,,,,
7245191536.84887-da60b24f-9d4e,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-08-10_06-56-37,failed,2025-08-10T06:56:58Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7245191536.84887-da60b24f-9d4e,,f8da8fe9-a394-457a-9f34-0c3ab0aecb5a,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,
7245191587.12156-ea1bebc3-afbc,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_06-56-42,failed,2025-08-10T06:57:03Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7245191587.12156-ea1bebc3-afbc,,3f281743-5a76-4b8b-86d1-1044ddf28edc,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,
7245190954.00655-fbb97943-da53,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-02-29,finished,2025-08-10T07:02:51Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7245190954.00655-fbb97943-da53,,22a865fc-d35a-4778-bf6f-b94b371e2c91,t-jiachentu,False,0,Classification,200.0,False,brainmvp,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,6e-05,4.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,1.0,60.0,False,False,pfi_1year,False,power,3.0,False,2.0,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,True,0.0,0.7883332967758179,0.6999999284744263,0.5,0.4166666567325592,0.618962287902832,1.0,1.0,1.0,1.0,0.20186428725719452,0.43958333134651184,0.0,0.375,0.375,1.573858618736267,4085,1000.0,1754813457.169079,200.0,4.5691453082619125e-09,400.0,0.2,cls_token,,,,,,,,,,,,,
7245190414.08593-72246bcd-8af1,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-08-10_07-08-49,finished,2025-08-10T07:09:11Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7245190414.08593-72246bcd-8af1,,20948d84-0cb1-4784-a475-e5720a1b4bc7,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,0.0001,4.0,False,0.0,True,False,full,True,0.1,16.0,False,batchgenerators.get_training_transforms,1.0,60.0,False,False,pfi_1year,False,power,3.0,False,2.0,True,epochwise,,True,0.5,0.4486904442310333,0.19999998807907104,0.4000000059604645,0.3636363744735718,0.8385378122329712,0.7731667757034302,0.7708333730697632,0.7083333730697632,0.7257143259048462,0.4819343388080597,1.0,1.0,1.0,1.0,0.4557565748691559,7951,500.0,1754817700.830052,100.0,3.854818796385494e-08,100.0,,mean,facebook/dinov2-base,mean,,,,,,,,,,,
7245190363.69916-36d1041a-d42b,dinov2_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-18-05,failed,2025-08-10T07:18:26Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7245190363.69916-36d1041a-d42b,,596cce61-3a5d-46be-9dca-0cf7b361d112,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,
7245189554.96035-5e38dcb3-5327,mri_core_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-22-56,failed,2025-08-10T07:24:05Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7245189554.96035-5e38dcb3-5327,,8aaf571f-950b-4b98-8449-5fc5c8c64cc0,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,
7245189605.16819-8bdbfd41-8c67,mri_core_frozen_multi_t1_t1gd_t2_flair_2025-08-10_07-28-37,failed,2025-08-10T07:29:15Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7245189605.16819-8bdbfd41-8c67,,65d2d97f-a360-476e-a162-b1fa87a8fab8,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,4.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,0.0001,4.0,False,0.0,True,False,full,,0.1,16.0,False,batchgenerators.get_training_transforms,1.0,60.0,False,False,pfi_1year,False,power,3.0,False,2.0,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,False,0.5,,,,,,,,,,,,,,,,417,0.0,1754811338.445509,,4.761904761904762e-06,0.0,,mean,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,,,
7245188961.59043-838a6d76-f8be,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-32-44,finished,2025-08-10T07:33:23Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7245188961.59043-838a6d76-f8be,,b6de50e5-7b0f-4177-9078-d5a1bfb39993,t-jiachentu,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,1.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,7e-05,4.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,1.0,60.0,False,False,pfi_1year,False,power,3.0,False,2.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,False,0.2,0.7014285922050476,0.7000000476837158,0.5,0.4166666567325592,0.6880284547805786,1.0,1.0,1.0,1.0,0.32108864188194275,0.7250000238418579,0.75,0.875,0.761904776096344,0.45078644156455994,5499,900.0,1754816700.9597857,180.0,6.746583127731344e-09,360.0,,,,,,,,,,,,,,,
7245188538.62628-1de6d26a-a1c8,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-46-29,finished,2025-08-10T07:47:06Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7245188538.62628-1de6d26a-a1c8,,612107c3-6199-4a0f-ae8a-1bf7ed2dbd6e,t-jiachentu,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,2.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,7e-05,4.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,1.0,60.0,False,False,pfi_1year,False,power,3.0,False,2.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,False,0.2,0.7383333444595337,0.6000000238418579,0.5,0.4166666567325592,0.6029843091964722,1.0,1.0,1.0,1.0,0.25296491384506226,1.0,1.0,0.5,0.4444444477558136,0.6380583047866821,6270,900.0,1754818295.9272692,180.0,6.746583127731344e-09,360.0,,,,,,,,,,,,,,,
