run_id,run_name,state,created_at,url,tags,group,user,metric__runtime,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_dropout_rate,config_freeze_encoder,config_learned_sinusoidal_dim,config_dinov2_model_name,config_slice_aggregation,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size
7245182255.00644-62d85842-2d4e,resenc_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-10_09-25-08,crashed,2025-08-10T09:25:48Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7245182255.00644-62d85842-2d4e,,f674b3de-0d62-4f26-96d0-4fc82236a856,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245181658.70234-e77b65f8-d1ee,resenc_time_conditioned_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-10_09-35-05,finished,2025-08-10T09:37:53Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7245181658.70234-e77b65f8-d1ee,,0f194c72-acdd-47f8-8b4e-daf747cbc849,t-jiachentu,50061.0,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,5e-05,6.0,False,0.0,True,False,full,False,0.2,2.0,False,batchgenerators.get_training_transforms,30.0,False,False,idh_classification,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.5,0.6830803155899048,0.7576313018798828,0.5439560413360596,0.5454545617103577,0.5686565637588501,0.9544790983200072,0.9527982473373412,0.9016393423080444,0.9328495264053344,0.3958018124103546,0.7701535224914551,0.7854050397872925,0.6861472129821777,0.6959006786346436,0.5645557045936584,1000.0,1754868735.4724455,200.0,3.8076210902182585e-09,29400.0,256.0,0.5,False,64.0,,,,,,,,,
7245181886.04185-60b102b7-dda6,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-10_09-37-41,crashed,2025-08-10T09:38:10Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7245181886.04185-60b102b7-dda6,,efb3adfd-3362-4929-8be1-69b2847c06ba,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245181491.10954-77048a5e-e0a2,resenc_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-10_09-42-23,crashed,2025-08-10T09:42:56Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7245181491.10954-77048a5e-e0a2,,441684bd-d8a0-4ecb-b963-e3aab4dc7fe7,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245181147.33273-10c291e0-8055,resenc_MDAE_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-10_09-43-05,crashed,2025-08-10T09:43:39Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7245181147.33273-10c291e0-8055,,7b8c24c9-e4c6-4f2a-b0cd-6990ef8b5725,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245180193.49634-6faa226f-04a2,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-10_09-59-00,crashed,2025-08-10T09:59:24Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7245180193.49634-6faa226f-04a2,,1aa2258e-5386-4e5a-b512-3dada6705b51,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245179487.04958-071c5677-b41f,resenc_SimCLR_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-10_10-11-00,crashed,2025-08-10T10:11:36Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7245179487.04958-071c5677-b41f,,c25b8125-bb96-454d-98a6-5ad6c8c78bd4,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245179116.47424-509b868f-d382,resenc_SwinUNETR_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-10_10-16-57,finished,2025-08-10T10:17:25Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7245179116.47424-509b868f-d382,,b730e41b-65b3-4598-95df-55df9d8a0b24,t-jiachentu,21434.0,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,7e-05,6.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,30.0,False,False,idh_classification,False,power,3.0,False,1.0,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL_ckpts/ResEncL-OpenMind-SwinUNETR/checkpoint_final.pth,,0.2,0.8414120078086853,0.8571428656578064,0.7426739931106567,0.7744084596633911,0.5089539885520935,0.9894046783447266,0.9858323931694032,0.9896481037139891,0.9896481037139891,0.34026598930358887,0.8267229795455933,0.8630179166793823,0.7359307408332825,0.761805534362793,0.5123656392097473,900.0,1754842479.4552426,180.0,6.746583127731344e-09,6660.0,,,,,,,,,,,,,
7245178766.91847-d3e842f6-a418,resenc_time_conditioned_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-10_10-32-34,finished,2025-08-10T10:33:32Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7245178766.91847-d3e842f6-a418,,17b45ac5-2bc4-469a-9c84-cfcdab881f9b,t-jiachentu,23303.0,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,5e-05,6.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,30.0,False,False,idh_classification,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.5,0.8387388586997986,0.8644688725471497,0.791208803653717,0.749099612236023,0.5569975972175598,0.9703397750854492,0.984030544757843,0.913298487663269,0.9209148287773132,0.3853565156459808,0.8504636883735657,0.884353756904602,0.7683982849121094,0.7548197507858276,0.5499970316886902,1000.0,1754845315.1524298,200.0,3.8076210902182585e-09,14800.0,256.0,0.5,False,64.0,,,,,,,,,
7245178059.70949-5df20608-bc9d,resenc_VoCo_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-10_10-34-46,crashed,2025-08-10T10:35:27Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7245178059.70949-5df20608-bc9d,,1bf52327-06e7-4710-ba48-7a19a86f1871,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
