run_id,run_name,project,modality,model,learning_rate,batch_size,epochs,epoch,Test_Balanced_Accuracy,Test_F1,Test_AUROC,Test_AP,Val_Balanced_Accuracy,Val_F1,Val_AUROC,Val_AP,wandb_notes
7245586934.21928-b04f91be-6450,resenc_VF_pretrained_mixed_contrasts_2025-08-05_17-09-18,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,7e-05,4,180,180.0,0.4473684132099152,0.395348846912384,0.5263158082962036,0.5537136197090149,0.4444444477558136,0.4000000059604645,0.6759259700775146,0.6301301121711731,
7245587390.12270-8f7fab2c-1f66,resenc_SimCLR_pretrained_mixed_contrasts_2025-08-05_16-56-06,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,7e-05,4,180,180.0,0.4210526347160339,0.380952388048172,0.5037593841552734,0.5496258735656738,0.5,0.4947368502616882,0.4907407164573669,0.5267558097839355,
7245917148.61321-233983bf-4116,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_mixed_contrasts_2025-08-01_21-25-30,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,6e-05,4,200,200.0,0.4398496150970459,0.4358974397182464,0.5037593841552734,0.5331205129623413,0.4444444477558136,0.4000000059604645,0.4629629850387573,0.5306909680366516,
7245607898.34100-3c836d11-66c6,resenc_multimodal_mm_mdae_pretrained_pretrained_mixed_contrasts_2025-08-05_11-23-04,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoderMultiModal_Classifier,3e-05,4,200,200.0,0.5,0.422222226858139,0.4887217879295349,0.5432535409927368,0.4444444477558136,0.4444444477558136,0.435185194015503,0.5604990124702454,
7245180905.86404-9f4f754f-e4b6,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_mixed_contrasts_2025-08-10_09-47-22,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,8e-05,4,200,200.0,0.5,0.422222226858139,0.4887217879295349,0.5339394211769104,0.5,0.4957983493804931,0.4722222089767456,0.5883052945137024,
7245586531.06377-1ce71767-29e5,resenc_SwinUNETR_pretrained_mixed_contrasts_2025-08-05_17-09-40,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,7e-05,4,180,180.0,0.5,0.422222226858139,0.4812029898166657,0.5230648517608643,0.5,0.4285714328289032,0.5277777910232544,0.5863743424415588,
7245606825.19613-23b08322-38e7,resenc_multimodal_mm_mdae_pretrained_pretrained_mixed_contrasts_2025-08-05_11-31-22,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoderMultiModal_Classifier,3e-05,4,200,200.0,0.5,0.422222226858139,0.4586466252803802,0.5163660049438477,0.5833333134651184,0.5872235894203186,0.5,0.5616259574890137,
7245976791.79051-2321e2a1-491a,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_mixed_contrasts_2025-08-01_06-15-13,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,2e-05,4,200,200.0,0.5,0.422222226858139,0.4586465954780578,0.5303010940551758,0.4166666567325592,0.3846153914928436,0.5370370149612427,0.5535740852355957,
7245588641.85949-cfd1c6d6-c25d,resenc_multimodal_mm_mdae_pretrained_pretrained_mixed_contrasts_2025-08-05_16-39-49,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoderMultiModal_Classifier,7e-05,4,180,180.0,0.4736842215061188,0.409090906381607,0.4586465954780578,0.532039225101471,0.5277777910232544,0.5213675498962402,0.5185185670852661,0.5827672481536865,
7245588221.52727-f67b6fde-507d,resenc_time_conditioned_pretrained_mixed_contrasts_2025-08-05_16-48-23,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncTimeConditioned,7e-05,4,180,180.0,0.5,0.422222226858139,0.451127827167511,0.5241776704788208,0.5277777910232544,0.5213675498962402,0.5740740895271301,0.5744720697402954,
7245585706.41726-115cded0-1282,resenc_MG_pretrained_mixed_contrasts_2025-08-05_17-26-29,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,7e-05,4,180,180.0,0.4924812018871307,0.4811529815196991,0.4360902309417724,0.4864704310894013,0.5277777910232544,0.5213675498962402,0.5370370149612427,0.5637426376342773,
7245589089.45396-9bcee7a6-b574,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_mixed_contrasts_2025-08-05_16-29-00,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,7e-05,4,180,180.0,0.5,0.422222226858139,0.4210526347160339,0.5539950728416443,0.472222238779068,0.4692874848842621,0.4814814925193786,0.5330005884170532,
7245995240.05243-a9ad8b65-5e60,mri_core_pretrained_mixed_contrasts_2025-07-31_23-38-29,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,MRICore,5e-05,1,100,100.0,0.5,0.422222226858139,0.4154135584831238,0.4991617202758789,0.5,0.4285714328289032,0.5995370149612427,0.6331709623336792,
7245607656.89902-ff826421-0fbc,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_mixed_contrasts_2025-08-05_11-25-58,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,3e-05,4,200,200.0,0.4473684132099152,0.395348846912384,0.4135338366031647,0.4761207103729248,0.5277777910232544,0.5213675498962402,0.3796296417713166,0.4936056733131408,
7245608332.37988-be74f060-321f,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_mixed_contrasts_2025-08-05_11-13-10,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,3e-05,4,200,200.0,0.3796992599964142,0.3779904246330261,0.3984962701797485,0.4918452799320221,0.4166666567325592,0.3846153914928436,0.4814814925193786,0.5099810361862183,
7245970045.30485-81844c94-46b4,resenc_time_conditioned_pretrained_mixed_contrasts_2025-08-01_06-39-48,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncTimeConditioned,0.0001,4,200,200.0,0.5,0.422222226858139,0.3909774422645569,0.4875350296497345,0.5555555820465088,0.5555555820465088,0.5648148059844971,0.5814958214759827,
7245969219.25031-746fe1ec-499b,dinov2_pretrained_mixed_contrasts_2025-08-01_06-56-41,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,dinov2,0.0001,1,50,100.0,0.5,0.422222226858139,0.3834586143493652,0.4859679341316223,0.5,0.4285714328289032,0.3981481492519378,0.4978094696998596,
7245606029.23918-a5ae41e2-b7d8,resenc_time_conditioned_pretrained_mixed_contrasts_2025-08-05_15-58-34,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncTimeConditioned,3e-05,4,200,200.0,0.5,0.422222226858139,0.3759398460388184,0.4613725543022156,0.5277777910232544,0.5213675498962402,0.5925925970077515,0.6404773592948914,
7245914027.47108-7e9aa0a3-b72b,brainmvp_pretrained_mixed_contrasts_2025-08-01_22-11-14,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,brainmvp,6e-05,4,200,200.0,0.5,0.422222226858139,0.3759398460388184,0.4887179136276245,0.6944444179534912,0.6606060862541199,0.6759259104728699,0.6231460571289062,
7245607505.53805-beb89a11-9b5b,resenc_time_conditioned_pretrained_mixed_contrasts_2025-08-05_11-28-03,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncTimeConditioned,3e-05,4,200,200.0,0.5,0.422222226858139,0.3533834517002105,0.4583339095115661,0.5277777910232544,0.5213675498962402,0.5370370149612427,0.5641337037086487,
