run_id,run_name,project,modality,model,learning_rate,batch_size,epochs,epoch,Test_Balanced_Accuracy,Test_F1,Test_AUROC,Test_AP,Val_Balanced_Accuracy,Val_F1,Val_AUROC,Val_AP,wandb_notes
7245969074.15327-6fb19f13-86e1,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-08-01_06-54-48,july_stratified_brats23_men_vs_met_single_t1c,T1c,ResEncoder_Classifier,0.0001,4,200,200.0,0.800000011920929,0.7861111164093018,0.9506757259368896,0.9536328911781312,0.8562023639678955,0.8552380800247192,0.9168399572372437,0.9189407229423524,
7245873707.70670-7a32f55e-cc88,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-08-02_09-23-30,july_stratified_brats23_men_vs_met_single_t1c,T1c,ResEncoder_Classifier,0.0001,4,200,200.0,0.800000011920929,0.7861111164093018,0.9506757259368896,0.9536328911781312,0.8562023639678955,0.8552380800247192,0.9168399572372437,0.9189407229423524,
7245995904.53424-8b8add50-1a3c,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-07-31_23-26-34,july_stratified_brats23_men_vs_met_single_t2f,T2f,ResEncoder_Classifier,5e-05,4,200,200.0,0.841891884803772,0.8428571224212646,0.9506757259368896,0.940752387046814,0.9223839044570924,0.92099791765213,0.9632709622383118,0.9631906151771544,
7245589318.49355-c4a28d35-a237,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-08-05_16-29-58,july_stratified_brats23_men_vs_met_single_t2f,T2f,ResEncoder_Classifier,7e-05,4,180,180.0,0.7317567467689514,0.7234195470809937,0.949324369430542,0.9390919208526612,0.8839223980903625,0.8810641765594482,0.9577269554138184,0.940959930419922,
7245588917.78739-2373b355-6344,resenc_multimodal_mm_mdae_pretrained_pretrained_t2f_2025-08-05_16-36-51,july_stratified_brats23_men_vs_met_single_t2f,T2f,ResEncoderMultiModal_Classifier,7e-05,4,180,180.0,0.7317567467689514,0.7234195470809937,0.949324369430542,0.9390919208526612,0.8839223980903625,0.8810641765594482,0.9577269554138184,0.940959930419922,
7246051136.46422-2c28afb8-f13f,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n_2025-07-31_10-54-19,july_stratified_brats23_men_vs_met_single_t1n,T1n,ResEncoder_Classifier,2e-05,1,200,200.0,0.574999988079071,0.473027378320694,0.9493243098258972,0.9501051902770996,0.8690228462219238,0.8684210777282715,0.9064449071884156,0.8763736486434937,
7245873680.87734-46fe46f6-71fc,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-08-02_09-29-59,july_stratified_brats23_men_vs_met_single_t2f,T2f,ResEncoder_Classifier,0.0001,4,200,200.0,0.6499999761581421,0.5935143232345581,0.9486486911773682,0.9490832686424256,0.908177375793457,0.9078788161277772,0.970201015472412,0.9720633029937744,
7245608345.51575-b165ac06-8424,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n_2025-08-05_11-13-09,july_stratified_brats23_men_vs_met_single_t1n,T1n,ResEncoder_Classifier,3e-05,4,200,200.0,0.5,0.3418803513050079,0.9479730129241944,0.9425560235977172,0.8974359035491943,0.8940766453742981,0.9882189631462096,0.9889072179794312,
7245607506.17997-9132fc13-30a2,resenc_multimodal_mm_mdae_pretrained_pretrained_t1n_2025-08-05_11-28-11,july_stratified_brats23_men_vs_met_single_t1n,T1n,ResEncoderMultiModal_Classifier,3e-05,4,200,200.0,0.5,0.3418803513050079,0.9479730129241944,0.9425560235977172,0.8974359035491943,0.8940766453742981,0.9882189631462096,0.9889072179794312,
7245608185.17587-e9179f1a-9ca7,resenc_multimodal_mm_mdae_pretrained_pretrained_t1n_2025-08-05_11-17-10,july_stratified_brats23_men_vs_met_single_t1n,T1n,ResEncoderMultiModal_Classifier,3e-05,4,200,200.0,0.5,0.3418803513050079,0.9479730129241944,0.9425560235977172,0.8974359035491943,0.8940766453742981,0.9882189631462096,0.9889072179794312,
