run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_classification_head_dropout,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_learning_rate,config_freeze_backbone,config_pretrained_path,config_token_aggregation_method,config_use_brainiac_preprocessing,config_dinov2_model_name,config_slice_aggregation,config_final_batch_size,config_auto_batch_size_mode,config_auto_batch_size_steps,config_auto_batch_size_enabled,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss
7247006234.64717-29b047c9-d12c,resenc_pretrained_2025-07-20_06-54-26,finished,2025-07-20T06:54:59Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7247006234.64717-29b047c9-d12c,,a669b33e-ba5f-4489-98f2-ab478697f284,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,False,False,1,epochwise,0.2,1.0,1.0,1.0,1.0,0.3277706801891327,0.9438167810440063,0.9609835147857666,0.9192745685577391,0.9097318649291992,0.3845525085926056,38976.0,1799,1753033476.1447208,299.0,3.1471622649714703e-10,34199,,,,,,,,,,,,,,,,,
7246918959.60455-28a06094-1204,brainiac_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-21_07-11-06,failed,2025-07-21T07:11:34Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7246918959.60455-28a06094-1204,,d72ddbad-0755-4266-af87-2252f7644bd9,t-jiachentu,,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,2,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,False,False,1,epochwise,0.0,,,,,,,,,,,77.0,0,1753081938.6829145,,2.380952380952381e-06,0,0.2,5e-05,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,cls_token,True,,,,,,,,,,,
7246918935.45558-4ff32dd9-5541,brainiac_scratch_multi_t1n_t1c_t2w_t2f_2025-07-21_07-11-26,failed,2025-07-21T07:11:55Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7246918935.45558-4ff32dd9-5541,,6f6b4fc7-3647-40d1-9840-9a94ed3e5fbd,t-jiachentu,,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,2,False,300,False,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,False,False,1,epochwise,0.0,,,,,,,,,,,79.0,0,1753081961.106582,,4.761904761904762e-06,0,0.2,0.0001,False,,cls_token,True,,,,,,,,,,,
7246918209.27485-28e8497f-ea4a,brainmvp_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-21_07-23-46,crashed,2025-07-21T07:24:06Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7246918209.27485-28e8497f-ea4a,,6668970f-b5ef-4e06-8ead-f32c1ef5003c,t-jiachentu,,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,2,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,False,False,1,epochwise,0.0,0.8788480758666992,0.940240740776062,0.8190111517906189,0.8448022603988647,0.4033982455730438,0.7080398201942444,0.82757568359375,0.7238874435424805,0.6032381653785706,0.673821747303009,39014.0,660,1753121362.0201309,109.0,7.660160382576686e-05,49940,0.2,0.0001,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,cls_token,True,,,,,,,,,,,
7246913039.54940-48b7b712-d2c3,brainiac_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-21_08-41-50,crashed,2025-07-21T08:42:17Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7246913039.54940-48b7b712-d2c3,,376d707d-503c-4dd6-8790-b9cce7448ba1,t-jiachentu,,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,False,False,1,epochwise,0.0,0.7849944233894348,0.8578268885612488,0.6720154881477356,0.7208412885665894,0.440969318151474,0.5098415017127991,0.5328693389892578,0.5,0.46748682856559753,4.1004838943481445,34784.212234613,258,1753122123.028326,42.0,4.0477348732745845e-05,39044,0.2,5e-05,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,cls_token,True,,,,,,,,,,,
7246913006.59283-9e641098-577a,brainiac_scratch_multi_t1n_t1c_t2w_t2f_2025-07-21_08-42-30,crashed,2025-07-21T08:42:59Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7246913006.59283-9e641098-577a,,623fcb43-07b4-4f50-9dec-d55fa49a2ec3,t-jiachentu,,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,False,False,1,epochwise,0.0,0.7224997282028198,0.8405632972717285,0.5940338373184204,0.625658392906189,0.4534049928188324,0.5123012661933899,0.5322343111038208,0.5,0.46748682856559753,1.7377383708953855,33599.139849763,252,1753120980.0323372,41.0,8.247240241650919e-05,38136,0.2,0.0001,False,,cls_token,True,,,,,,,,,,,
7246912196.40129-adfb0e9d-4ec8,brainiac_scratch_multi_t1n_t1c_t2w_t2f_2025-07-21_08-56-10,crashed,2025-07-21T08:56:37Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7246912196.40129-adfb0e9d-4ec8,,6cbfd6a7-97d2-408c-8194-ae1dd189941e,t-jiachentu,,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,False,False,1,epochwise,0.0,0.6778985261917114,0.7759929895401001,0.5665109157562256,0.5866946578025818,0.4650581777095794,0.5367593169212341,0.5678215622901917,0.5,0.46748682856559753,0.6293178796768188,33599.0,246,1753121008.094214,40.0,8.39400372766471e-05,37228,0.2,0.0001,False,,cls_token,True,,,,,,,,,,,
7246912226.63407-9abea810-c0e2,brainiac_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-21_08-56-15,crashed,2025-07-21T08:56:42Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7246912226.63407-9abea810-c0e2,,016ae575-deda-4c00-a979-584fccf3bfa5,t-jiachentu,,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,False,False,1,epochwise,0.0,0.7790852785110474,0.8961316347122192,0.6642994284629822,0.7068130373954773,0.4387001693248749,0.5162143707275391,0.5484911799430847,0.4981203079223633,0.4665493071079254,1.7202001810073853,33261.632294266,246,1753121466.176824,40.0,4.197001863832355e-05,37228,0.2,5e-05,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,cls_token,True,,,,,,,,,,,
7246911275.63944-c1804957-6217,brainmvp_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-21_09-10-50,crashed,2025-07-21T09:11:10Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7246911275.63944-c1804957-6217,,5bcdbf7c-1dc1-489a-8143-094ec9a3ac6c,t-jiachentu,,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,False,False,1,epochwise,0.0,0.9337287545204164,0.9671033620834352,0.8484114408493042,0.871888279914856,0.3840858340263366,0.7119225263595581,0.866287350654602,0.7787543535232544,0.6737635135650635,0.5526838898658752,33676.821489863,594,1753122746.1978846,98.0,3.854818796385494e-08,89892,0.2,0.0001,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,cls_token,True,,,,,,,,,,,
7246910768.82102-0cf292ca-34d0,dinov2_frozen_multi_t1n_t1c_t2w_t2f_2025-07-21_09-21-01,crashed,2025-07-21T09:21:20Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7246910768.82102-0cf292ca-34d0,,befc7ab1-38b5-4187-9ca0-840aa47f56f7,t-jiachentu,,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,False,False,1,epochwise,0.5,0.7510877847671509,0.8569427728652954,0.7670712471008301,0.7103387117385864,1.234519600868225,0.9527288675308228,0.9789676666259766,0.7725564241409302,0.5425416231155396,0.9533640146255492,31370.548995185,240,1753121053.563095,39.0,0.0008535533905932737,36320,,0.001,True,,mean,True,facebook/dinov2-base,mean,,,,,,,,,
7246910737.36084-ca27900d-946b,dinov2_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-21_09-21-07,failed,2025-07-21T09:21:25Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7246910737.36084-ca27900d-946b,,ee144c8a-1f5a-48ce-9872-26b06920169c,t-jiachentu,,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,False,False,1,epochwise,0.5,,,,,,,,,,,73.0,0,1753089730.2659104,,4.761904761904762e-06,0,,0.0001,False,,mean,True,facebook/dinov2-base,mean,,,,,,,,,
