run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dinov2_model_name,config_slice_aggregation,config_chpt_path,config_time_dim,config_learned_sinusoidal_dim,config_image_size,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_patch_size
7246388500.19767-19f628d3-8727,brainiac_pretrained_flair_2025-07-27_19-14-15,finished,2025-07-27T11:26:08Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246388500.19767-19f628d3-8727,,d0a9221b-1e05-4af4-a109-bba222f312ff,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,4,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.694025456905365,0.7495361566543579,0.6320346593856812,0.6409060955047607,0.596829891204834,0.9057509899139404,0.9210233688354492,0.8252224922180176,0.8432576656341553,0.4536302387714386,0.7382810115814209,0.8397436141967773,0.7525640726089478,0.6726462841033936,0.7586667537689209,35418.0,3005,1753661977.397766,300,3.1471622649714703e-10,22200,,,,,,,,,,,,,,,
7246388854.52273-33ffc292-315e,brainmvp_pretrained_flair_2025-07-27_14-14-23,finished,2025-07-27T11:26:12Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246388854.52273-33ffc292-315e,,e0cea4ac-0d56-480f-aa77-a0e90f4356ba,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,8,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.6611530780792236,0.6410019397735596,0.5,0.4399999976158142,0.5898800492286682,0.7899559140205383,0.8451057076454163,0.6483592987060547,0.6792727112770081,0.5074148178100586,0.5808679461479187,0.6275640726089478,0.5487179756164551,0.5518292784690857,0.6032480001449585,16345.0,2275,1753635141.0815382,300,3.1471622649714703e-10,11100,,,,,,,,,,,,,,,
7246388131.01422-b8799161-3d1d,brainiac_scratch_flair_2025-07-27_20-42-52,finished,2025-07-27T11:40:36Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246388131.01422-b8799161-3d1d,,c5dc7c8a-b07f-412e-ad71-3a988bc20682,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.8321298360824585,0.832405686378479,0.6666666865348816,0.7083333730697632,0.5808506608009338,0.8515433073043823,0.8748956918716431,0.7408231496810913,0.7746308445930481,0.48277875781059265,0.732750415802002,0.8144230842590332,0.6493589878082275,0.6742912530899048,0.5850459337234497,38748.0,3600,1753663046.3115437,300,3.1471622649714703e-10,22200,,,,,,,,,,,,,,,
7246389219.23351-6059a391-fc12,dinov2_pretrained_flair_2025-07-27_22-36-23,finished,2025-07-27T11:40:46Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246389219.23351-6059a391-fc12,,fbfbc316-36d8-4176-abf2-52f2c31abda1,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,False,epochwise,mean,True,0.5,0.8298231959342957,0.8206555843353271,0.6666666865348816,0.7083333730697632,0.49846288561820984,1.0,1.0,1.0,1.0,0.3290375769138336,0.8955719470977783,0.9352563619613647,0.7993589639663696,0.8167601823806763,0.4483112096786499,52276.0,3352,1753678097.9999952,300,3.1471622649714703e-10,88200,facebook/dinov2-base,mean,,,,,,,,,,,,,
7246387409.34804-088c9ab1-7f79,resenc_pretrained_flair_2025-07-27_12-43-26,finished,2025-07-27T12:31:15Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246387409.34804-088c9ab1-7f79,,77f5c5c6-3eef-4864-9aa5-5ebc68115eaa,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,,,0.2,0.7509494423866272,0.8123067617416382,0.6450216770172119,0.6597222089767456,0.5489189624786377,0.9435049295425416,0.9336763620376588,0.9171996116638184,0.9405460357666016,0.3898508846759796,0.8097460269927979,0.8948718309402466,0.8301281929016113,0.8181818127632141,0.4847092926502228,15629.0,1500,1753635791.870803,300,3.1471622649714703e-10,11100,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,,,,,,,
7246386688.97070-fb56ad05-7f47,resenc_tc_time_conditioned_pretrained_flair_2025-07-27_18-44-40,finished,2025-07-27T12:35:25Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246386688.97070-fb56ad05-7f47,,237591ac-ea85-49c9-b0b1-4fbc978d368d,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,,,0.2,0.7671879529953003,0.8144712448120117,0.6904761791229248,0.6871864795684814,0.6200116276741028,1.0,1.0,1.0,1.0,0.33362093567848206,0.8237800598144531,0.8471153974533081,0.7673076391220093,0.7575757503509521,0.5332300066947937,21148.0,1913,1753656276.1922593,300,3.1471622649714703e-10,11100,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,256.0,64.0,,,,,,,,,,
7246387050.68320-a777f94b-384b,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-07-27_12-45-53,finished,2025-07-27T12:46:17Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246387050.68320-a777f94b-384b,,c91d699c-8d06-4604-bb3c-9739d7e69ffc,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,,,0.2,0.832273006439209,0.8985776901245117,0.8116883039474487,0.8063535690307617,0.48064783215522766,0.9978703260421752,0.9988876581192015,0.975250244140625,0.9696969985961914,0.35255783796310425,0.7964966297149658,0.8262820243835449,0.7173076868057251,0.7173076868057251,0.5665041208267212,12833.0,1500,1753633210.4568508,300,3.1471622649714703e-10,11100,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,
7246387772.09778-9de17dd0-040d,mri_core_pretrained_flair_2025-07-30_12-08-30,finished,2025-07-27T13:16:48Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246387772.09778-9de17dd0-040d,,40b0f312-ab43-49d7-9ff2-b09d19d8331a,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,1,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,False,epochwise,mean,,0.5,0.8579673767089844,0.8806431889533997,0.7662338018417358,0.7958333492279053,0.4821857810020447,1.0,1.0,1.0,1.0,0.32811620831489563,0.9270347356796264,0.9583333730697632,0.8557692170143127,0.8694204092025757,0.4300443232059479,248560.0,5783,1753937763.8250625,300,3.1471622649714703e-10,88200,,mean,,,,224.0,,,,,,,,,
7246221635.79725-a8a46d2f-bbd8,resenc_time_conditioned_pretrained_flair_2025-07-29_08-44-30,finished,2025-07-29T08:45:06Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246221635.79725-a8a46d2f-bbd8,,633f0b94-7e86-4afb-93d4-011fa677ad6f,t-jiachentu,False,0,Classification,300,False,ResEncTimeConditioned,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,cls_token,,0.5,0.7344558238983154,0.8055555820465088,0.5,0.4406779706478119,0.5478308796882629,0.9904223680496216,0.9962830543518066,0.9673283100128174,0.9673283100128174,0.3527868092060089,0.7822962999343872,0.8136986494064331,0.6926027536392212,0.7173076868057251,0.6026590466499329,31664.0,1500,1753810370.056389,300,3.1471622649714703e-10,22200,,,,256.0,64.0,,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,
7246150966.70121-c05d86a3-38d8,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-07-30_04-28-17,finished,2025-07-30T04:28:52Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246150966.70121-c05d86a3-38d8,,338370d2-6944-4213-9225-17d31846f422,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,5e-06,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,False,epochwise,,,0.2,0.7925310134887695,0.841269850730896,0.7847985029220581,0.739199161529541,0.5450313687324524,0.9843401908874512,0.9904104471206664,0.9673283100128174,0.9673283100128174,0.36572790145874023,0.7388879060745239,0.7358903884887695,0.7052054405212402,0.7159420251846313,0.6348508596420288,20476.0,1000,1753870207.1891828,200,3.8076210902182607e-10,58600,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,
