run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_classification_head_dropout,metric__runtime,metric__step,metric__timestamp,metric_lr-AdamW,metric_trainer/global_step,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric_epoch,config_chpt_path,config_use_brainiac_preprocessing,config_dinov2_model_name,config_slice_aggregation
7247447514.32235-83b65a97-2efc,brainmvp_multimodal_pretrained_multi_t1_t1gd_t2_flair_2025-07-15_04-19-11,finished,2025-07-15T04:19:32Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_+survival_1year/runs/7247447514.32235-83b65a97-2efc,,ab5ace5c-f51e-48a3-98f1-2cc6aeb67074,t-jiachentu,0.0001,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/BrainMVP/checkpoint_final.pth,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,cls_token,0.0,19458.0,1799,1752572631.8803213,3.147162264971471e-09,26699,0.8029788732528687,0.8132824897766113,0.7275288701057434,0.7271385192871094,0.5935527682304382,0.5169638991355896,0.5419776439666748,0.5649875402450562,0.5652173757553101,0.7788931727409363,299.0,,True,,
7247446410.38585-2e0fb025-ff85,"dinov2_multimodal_multi_mods_ 0,1,2,3_2025-07-15_04-36-41",finished,2025-07-15T04:37:12Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_+survival_1year/runs/7247446410.38585-2e0fb025-ff85,,364985c1-636f-48d0-9dd4-a92ceff884cd,t-jiachentu,0.0001,False,0,Classification,50,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,0,1,False,300,False,True,0,gpu,0.2,2,16,val,False,,1,False,0.0001,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,True,0.1,,False,batchgenerators.get_training_transforms,1,False,False,survival_1year,False,False,4,epochwise,mean,0.5,67884.0,1799,1752622118.1633155,9.99013364214137e-05,26699,0.5174136161804199,0.49977582693099976,0.49225080013275146,0.49220672249794006,0.7456386685371399,0.6161584854125977,0.6288868188858032,0.5,0.29447853565216064,0.7119556069374084,299.0,,False,facebook/dinov2-base,mean
7247446336.93371-12ccd574-eb3c,"dinov2_multimodal_multi_mods_ 0,1,2,3_2025-07-15_04-38-19",failed,2025-07-15T04:38:47Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_+survival_1year/runs/7247446336.93371-12ccd574-eb3c,,7aad40c2-b02a-49bf-8f66-6b12aba54918,t-jiachentu,0.0001,False,0,Classification,50,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,0,1,False,300,False,True,0,gpu,0.2,2,16,val,False,,1,False,0.0001,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.1,,False,batchgenerators.get_training_transforms,1,False,False,survival_1year,False,False,4,epochwise,mean,0.5,823.0,0,1752555133.4608676,0.0001,0,,,,,,,,,,,,,False,facebook/dinov2-base,mean
7247439405.77604-42ed81a0-696f,"dinov2_multimodal_multi_mods_ 0,1,2,3_2025-07-15_06-35-40",failed,2025-07-15T06:36:09Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_+survival_1year/runs/7247439405.77604-42ed81a0-696f,,677422a1-7d94-45a1-b543-124f6aacda39,t-jiachentu,0.0001,False,0,Classification,50,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,0,1,False,300,False,True,0,gpu,0.2,2,16,val,False,,1,False,0.0001,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.1,,False,batchgenerators.get_training_transforms,1,False,False,survival_1year,False,False,4,epochwise,mean,0.5,918.0,0,1752562276.2361016,0.0001,0,,,,,,,,,,,,,False,facebook/dinov2-base,mean
7247429566.06861-75adcb55-ec52,"dinov2_multimodal_multi_mods_ 0,1,2,3_2025-07-15_09-20-29",finished,2025-07-15T09:20:54Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_+survival_1year/runs/7247429566.06861-75adcb55-ec52,,3573bdc6-4e1b-4ad9-91c7-1c9a840bc5f9,t-jiachentu,0.0001,False,0,Classification,50,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,0,1,False,300,False,True,0,gpu,0.2,2,16,val,False,,1,False,0.0001,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,True,0.1,,False,batchgenerators.get_training_transforms,1,False,False,survival_1year,False,False,4,epochwise,mean,0.5,68039.0,1799,1752639293.903976,9.99013364214137e-05,26699,0.5174136161804199,0.49977582693099976,0.49225080013275146,0.49220672249794006,0.7456386685371399,0.6161584854125977,0.6288868188858032,0.5,0.29447853565216064,0.7119556069374084,299.0,,False,facebook/dinov2-base,mean
7247429585.46460-cbc6a5d0-d13e,"dinov2_multimodal_multi_mods_ 0,1,2,3_2025-07-15_09-27-43",failed,2025-07-15T09:28:12Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_+survival_1year/runs/7247429585.46460-cbc6a5d0-d13e,,7f80ec63-60c8-4f35-b142-285265b0605c,t-jiachentu,0.0001,False,0,Classification,50,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,0,1,False,300,False,True,0,gpu,0.2,2,16,val,False,,1,False,0.0001,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.1,,False,batchgenerators.get_training_transforms,1,False,False,survival_1year,False,False,4,epochwise,mean,0.5,898.0,0,1752572578.8959472,0.0001,0,,,,,,,,,,,,,False,facebook/dinov2-base,mean
7247427104.58217-acfd0cba-15c9,"dinov2_multimodal_multi_mods_ 0,1,2,3_2025-07-15_19-46-02",crashed,2025-07-15T09:53:27Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_+survival_1year/runs/7247427104.58217-acfd0cba-15c9,,78026498-4163-4767-bd81-95322a18322f,t-jiachentu,0.0001,False,0,Classification,50,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,0,12,False,300,False,True,0,gpu,0.2,2,16,val,False,,1,False,0.0001,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,True,0.1,,False,batchgenerators.get_training_transforms,1,False,False,survival_1year,False,False,4,epochwise,mean,0.5,334681.865621736,703,1752908179.7357645,8.85256621387894e-05,888,0.4708483219146729,0.4648403823375702,0.4995036721229553,0.4849494099617005,0.7208179235458374,0.6323675513267517,0.6407027244567871,0.5,0.3681318759918213,0.6800854802131653,110.0,,False,facebook/dinov2-base,mean
7247425314.72649-d2070998-c200,"dinov2_multimodal_multi_mods_ 0,1,2,3_2025-07-15_10-39-03",finished,2025-07-15T10:39:29Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_+survival_1year/runs/7247425314.72649-d2070998-c200,,1bad8113-d1c7-49d6-be2a-170332f5da7b,t-jiachentu,0.0001,False,0,Classification,50,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,0,4,False,300,False,True,0,gpu,0.2,2,16,val,False,,1,False,0.0001,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,True,0.1,,False,batchgenerators.get_training_transforms,1,False,False,survival_1year,False,False,4,epochwise,mean,0.5,69847.0,1799,1752645817.312547,9.99013364214137e-05,6899,0.5089148879051208,0.5031540989875793,0.4888244867324829,0.488369882106781,0.7236546277999878,0.6211658716201782,0.6277985572814941,0.5388681292533875,0.4045497179031372,0.6942037343978882,299.0,,False,facebook/dinov2-base,mean
7247422830.86941-dc9c9bab-c91f,brainiac_multimodal_scratch_multi_t1_t1gd_t2_flair_2025-07-15_11-09-14,failed,2025-07-15T11:09:43Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_+survival_1year/runs/7247422830.86941-dc9c9bab-c91f,,195fd43a-9f72-4f3f-9374-2ba8595b23e0,t-jiachentu,0.0001,False,0,Classification,200,False,brainiac,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,1,False,200,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,cls_token,0.0,3950.0,92,1752581574.3815508,7.61904761904762e-05,15,0.4918712377548218,0.486566960811615,0.5115277767181396,0.4725892245769501,0.6960846185684204,0.614398181438446,0.6153607368469238,0.5679415464401245,0.568210244178772,0.6892638206481934,14.0,,,,
7247395432.70807-74aa11a2-28d2,brainiac_multimodal_scratch_multi_t1_t1gd_t2_flair_2025-07-15_18-49-29,failed,2025-07-15T18:49:59Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_+survival_1year/runs/7247395432.70807-74aa11a2-28d2,,0a26383a-157a-4ace-9637-e2f63adfe059,t-jiachentu,0.0001,False,0,Classification,200,False,brainiac,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,1,False,200,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,cls_token,0.0,2294.0,32,1752607534.2018433,2.8571428571428578e-05,5,0.4538078010082245,0.43784624338150024,0.48448559641838074,0.3822856843471527,0.697170078754425,0.6880540251731873,0.6937189102172852,0.5,0.29447853565216064,0.6944652795791626,4.0,,,,
