run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_name,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_metrics,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_input_shape,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_train_acc_epoch,metric_train_acc_step,metric_train_loss_epoch,metric_train_loss_step,metric_trainer/global_step,metric_val_acc,metric_val_loss
ygzua3kx,brainiac_multi_20250623_054639,finished,2025-06-23T05:46:51Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_brainiac_multi/runs/ygzua3kx,,0940b23a-4d26-4cd7-86d5-2922ee8518dc,t-jiachentu,0.0001,False,0,BrainIACModel,Classification,50,False,BrainIACModel,50,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,AdamW,16,CosineAnneal,20,2,False,50,False,True,0,gpu,"[128, 128, 128]",0.2,2,16,val,False,0.2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,2,False,0,True,False,full,False,0.1,/home/t-jiachentu/repos/BrainIAC/src/BrainIAC/checkpoints/brainage_model_latest.pt,False,batchgenerators.get_training_transforms,10,False,False,False,False,4,epochwise,cls_token,True,0,1498.920776334,394,1750659109.0978627,49,1.0976769428005576e-06,0.9104859232902528,1.0,0.3420664072036743,0.19863739609718323,2449,0.747474730014801,0.593986451625824
b4be69st,brainiac_multi_20250623_063542,finished,2025-06-23T06:35:54Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_brainiac_multi/runs/b4be69st,,900e0b01-fd9e-49ee-86f2-326e7b353e6e,t-jiachentu,0.0001,False,0,BrainIACModel,Classification,50,False,BrainIACModel,50,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,AdamW,16,CosineAnneal,20,2,False,50,False,True,0,gpu,"[128, 128, 128]",0.2,2,16,val,False,0.2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,2,False,0,True,False,full,False,0.1,/home/t-jiachentu/repos/BrainIAC/src/BrainIAC/checkpoints/brainage_model_latest.pt,False,batchgenerators.get_training_transforms,10,False,False,False,False,4,epochwise,cls_token,True,0,1098.66679361,394,1750661651.7065537,49,1.0976769428005576e-06,0.928388774394989,1.0,0.33541339635849,0.1985733062028885,2449,0.6868686676025391,0.6518593430519104
9f7k1ll5,brainiac_multi_20250623_181601,finished,2025-06-23T18:16:15Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_brainiac_multi/runs/9f7k1ll5,,87da95f2-285a-4a44-9fdd-5fb79b8770a6,t-jiachentu,0.0001,False,0,BrainIACModel,Classification,50,False,BrainIACModel,50,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,AdamW,16,CosineAnneal,20,2,False,50,False,True,0,gpu,"[128, 128, 128]",0.2,2,16,val,False,0.2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,2,False,0,True,False,full,False,0.1,/home/t-jiachentu/repos/BrainIAC/src/BrainIAC/checkpoints/brainage_model_latest.pt,False,batchgenerators.get_training_transforms,10,False,False,False,False,4,epochwise,cls_token,True,0,1633.087607632,334,1750704207.0867686,49,1.0976769428005576e-06,0.914675772190094,1.0,0.3553026616573334,0.19860687851905823,1849,0.704081654548645,0.7923007011413574
mj3rtvta,brainiac_multi_20250623_182255,finished,2025-06-23T18:23:07Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_brainiac_multi/runs/mj3rtvta,,ccc71b03-cf15-437f-9b0a-67ae4fba7e9a,t-jiachentu,0.0001,False,0,BrainIACModel,Classification,50,False,BrainIACModel,50,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,AdamW,16,CosineAnneal,20,2,False,50,False,True,0,gpu,"[128, 128, 128]",0.2,2,16,val,False,0.2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,2,False,0,True,False,full,False,0.1,/home/t-jiachentu/repos/BrainIAC/src/BrainIAC/checkpoints/brainage_model_latest.pt,False,batchgenerators.get_training_transforms,10,False,False,False,False,4,epochwise,cls_token,True,0,77.175544489,3,1750703063.920859,0,0.0001,,0.5,,1.1215561628341677,29,,
