run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_name,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_metrics,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_train_acc_epoch,metric_train_acc_step,metric_train_loss_epoch,metric_train_loss_step,metric_trainer/global_step,metric_val_acc,metric_val_loss
7247772458.91364-3e2d6928-1888,brainmvp_finetune_2025-07-11_10-02-06,finished,2025-07-11T10:02:29Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_brainmvp_finetune/runs/7247772458.91364-3e2d6928-1888,,05e6633a-4891-4b1d-9320-85adbaf2cd8b,t-jiachentu,0.001,False,0,UnetBrainMVPModel,Classification,100,False,UnetBrainMVPModel,100,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,2,SGD,16-mixed,CosineAnneal,False,0,4,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,0.0001,1,False,0,True,False,full,False,0.1,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1,False,False,dss_1year,True,False,1,epochwise,cls_token,False,0,4192,2799,1752232342.841625,99,1.0244252618962855e-06,0.6224489808082581,1.0,0.6202788352966309,0.4369323551654816,2499,0.37142857909202576,0.8925352692604065
7247632557.05204-a5a95519-ed7d,brainmvp_finetune_2025-07-13_00-54-24,finished,2025-07-13T00:54:49Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_brainmvp_finetune/runs/7247632557.05204-a5a95519-ed7d,,b4d05d19-02ba-4673-b3bd-6fe88b73f0d5,t-jiachentu,0.001,False,0,UnetBrainMVPModel,Classification,300,False,UnetBrainMVPModel,300,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,2,SGD,16-mixed,CosineAnneal,False,0,8,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,0.0001,1,False,0,True,False,full,False,0.1,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1,False,False,dss_1year,True,False,1,epochwise,cls_token,False,0,3787,2999,1752371877.9924638,299,1.002714116407149e-06,0.800000011920929,0.5,0.5103878974914551,0.6415526866912842,2099,0.4761904776096344,1.0081841945648191
7247618391.06142-1af85e17-d027,brainmvp_finetune_2025-07-13_04-50-09,finished,2025-07-13T04:50:35Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_brainmvp_finetune/runs/7247618391.06142-1af85e17-d027,,f631316c-3ea1-45a1-bb56-4ab6909e3d3e,t-jiachentu,0.001,False,0,UnetBrainMVPModel,Classification,300,False,UnetBrainMVPModel,300,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,2,SGD,16-mixed,CosineAnneal,False,0,8,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,0.0001,1,False,0,True,False,full,False,0.1,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1,False,False,dss_1year,True,False,1,epochwise,cls_token,False,0,3034,2999,1752385270.6896036,299,1.002714116407149e-06,0.699999988079071,1.0,0.6102116107940674,0.25916749238967896,2099,0.4761904776096344,0.7912663817405701
