run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_dropout_rate,config_freeze_encoder,config_learned_sinusoidal_dim,config_dinov2_model_name,config_slice_aggregation,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size
7245181600.61511-df0cdd97-e63e,resenc_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_09-35-38,crashed,2025-08-10T09:36:16Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245181600.61511-df0cdd97-e63e,,b92b7f47-eff7-4b34-aba9-6c092d5a3f69,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245181945.03083-943d65a9-066a,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_09-36-39,crashed,2025-08-10T09:37:07Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245181945.03083-943d65a9-066a,,3c2d1199-6ad7-4d82-af64-f9a5cd21d9dd,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245180925.26252-a13f5dd1-334d,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_09-47-14,crashed,2025-08-10T09:47:57Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245180925.26252-a13f5dd1-334d,,22e13ba1-3a60-45aa-ad11-e1de8a1ea819,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245181261.07751-523e9eb9-00cf,resenc_MDAE_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_09-48-43,crashed,2025-08-10T09:49:15Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245181261.07751-523e9eb9-00cf,,1c87e5f9-439a-47e0-bc8e-d850d5f9e61d,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245180623.36429-455f3dd0-fa46,resenc_MG_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_09-51-50,crashed,2025-08-10T09:52:26Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245180623.36429-455f3dd0-fa46,,d9f3be1a-5c77-4e9f-a2de-3d225281b086,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245180310.48986-2d63cec6-7197,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_10-03-17,crashed,2025-08-10T10:03:45Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245180310.48986-2d63cec6-7197,,cb9828af-5b71-44b1-9e3a-3a485f7ac8c5,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245179605.38370-e9c3d914-0077,resenc_SimCLR_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_10-08-59,crashed,2025-08-10T10:09:37Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245179605.38370-e9c3d914-0077,,3fe1d6af-8e26-40a6-96d9-2dc51f4d7fb5,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245178532.96734-a695f7cc-63c5,resenc_VF_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_10-31-11,finished,2025-08-10T10:31:40Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245178532.96734-a695f7cc-63c5,,288ec859-ee4d-477a-8531-b26e9e09a95f,t-jiachentu,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,7e-05,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,30.0,False,False,gli_vs_met,False,power,3.0,False,1.0,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL_ckpts/ResEncL-OpenMind-VF/checkpoint_final.pth,,0.2,0.7101404666900635,0.7798221111297607,0.625,0.6734042763710022,0.5085774660110474,1.0,1.0,1.0,1.0,0.32557860016822815,0.926339864730835,0.9613938927650452,0.9205224514007568,0.8750242590904236,0.4068720042705536,43121.0,900.0,1754865020.8521192,180.0,6.746583127731344e-09,20700.0,,,,,,,,,,,,,
7245178879.68391-553f2fc0-a1eb,resenc_time_conditioned_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_10-31-29,finished,2025-08-10T10:32:25Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245178879.68391-553f2fc0-a1eb,,f7690fd7-e767-4f9e-b533-546e8e836407,t-jiachentu,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-05,4.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,30.0,False,False,gli_vs_met,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.5,0.5544486045837402,0.6138108968734741,0.5100187063217163,0.4992198646068573,0.5608205795288086,1.0,1.0,1.0,1.0,0.32735374569892883,0.9014546275138856,0.9433680772781372,0.9061596393585204,0.8932297229766846,0.4009310007095337,52378.0,1000.0,1754874323.4392166,200.0,3.8076210902182585e-09,45800.0,256.0,0.5,False,64.0,,,,,,,,,
7245178179.36002-73b6e6b8-2cb5,resenc_VoCo_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_10-36-41,finished,2025-08-10T10:37:10Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245178179.36002-73b6e6b8-2cb5,,506e95a2-d79f-4ee1-9bc9-8dfca65f775a,t-jiachentu,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,7e-05,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,30.0,False,False,gli_vs_met,False,power,3.0,False,1.0,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL_ckpts/ResEncL-OpenMind-VoCo/checkpoint_final.pth,,0.2,0.7556002140045166,0.8830056190490723,0.6137640476226807,0.6463133692741394,0.46492859721183777,1.0,1.0,1.0,1.0,0.3254859149456024,0.9280788898468018,0.9462599158287048,0.9005205631256104,0.8757468461990356,0.4142879843711853,43197.0,900.0,1754865426.9590046,180.0,6.746583127731344e-09,20700.0,,,,,,,,,,,,,
